participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,return,0.1613,,,,,,,,,,,,,,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,return,3.4911,,,,,,,,,,,,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,return,1.5724,,,,,,,,,,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,return,3.3287,,,,,,,,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,5,0,0,0,4,1,estimulos/5.wav,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,7,0,1,1,2,1,estimulos/3.wav,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"7,30",0,2,2,3,1,estimulos/4.wav,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"7,50",0,3,3,1,1,estimulos/2.wav,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"7,50",0,4,4,5,1,estimulos/6.wav,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,8,0,5,5,0,1,estimulos/1.wav,,,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,,,,,,,,return,6.0826,,,,,,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/1.wav,,,0,0,0,0,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/2.wav,,,0,1,1,1,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,20",,,,,,estimulos/3.wav,,,0,2,2,2,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/4.wav,,,0,3,3,3,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/6.wav,,,0,4,4,5,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/5.wav,,,0,5,5,4,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/2.wav,,,1,0,6,1,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,40",,,,,,estimulos/4.wav,,,1,1,7,3,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,40",,,,,,estimulos/3.wav,,,1,2,8,2,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,9,,,,,,estimulos/1.wav,,,1,3,9,0,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,8,,,,,,estimulos/6.wav,,,1,4,10,5,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"7,50",,,,,,estimulos/5.wav,,,1,5,11,4,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,8,,,,,,estimulos/4.wav,,,2,0,12,3,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,8,,,,,,estimulos/6.wav,,,2,1,13,5,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,8,,,,,,estimulos/5.wav,,,2,2,14,4,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/2.wav,,,2,3,15,1,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,8,,,,,,estimulos/3.wav,,,2,4,16,2,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,9,,,,,,estimulos/1.wav,,,2,5,17,0,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,9,,,,,,estimulos/1.wav,,,3,0,18,0,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/4.wav,,,3,1,19,3,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/5.wav,,,3,2,20,4,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/2.wav,,,3,3,21,1,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,7,,,,,,estimulos/3.wav,,,3,4,22,2,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,7,,,,,,estimulos/6.wav,,,3,5,23,5,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,7,,,,,,estimulos/3.wav,,,4,0,24,2,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,7,,,,,,estimulos/5.wav,,,4,1,25,4,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,7,,,,,,estimulos/6.wav,,,4,2,26,5,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,9,,,,,,estimulos/1.wav,,,4,3,27,0,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,"8,30",,,,,,estimulos/4.wav,,,4,4,28,3,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,9,,,,,,estimulos/2.wav,,,4,5,29,1,1,057
nayra granero,001,2024-12-11_23h36.51.393,audio-text-input,2022.2.2,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,057
