"","Trial","Dist_fis","Respuesta","Sujeto","Bloque"
"126",6,4,3,"S002","REAL"
"127",7,5,3.5,"S002","REAL"
"128",8,1,0.8,"S002","REAL"
"129",9,2,1.3,"S002","REAL"
"130",10,3,2,"S002","REAL"
"131",11,4,2,"S002","REAL"
"132",12,6,4,"S002","REAL"
"133",13,4,3.5,"S002","REAL"
"134",14,5,3,"S002","REAL"
"135",15,2,1.5,"S002","REAL"
"136",16,3,2,"S002","REAL"
"137",17,6,2.3,"S002","REAL"
"138",18,1,1,"S002","REAL"
"139",19,4,2.3,"S002","REAL"
"140",20,3,3,"S002","REAL"
"141",21,1,0.8,"S002","REAL"
"142",22,5,1.8,"S002","REAL"
"143",23,6,3.5,"S002","REAL"
"144",24,2,2,"S002","REAL"
"145",1,4,0.5,"S002","SIMULADO"
"146",2,2,0.4,"S002","SIMULADO"
"147",3,1,0.2,"S002","SIMULADO"
"148",4,3,1,"S002","SIMULADO"
"149",5,6,1.5,"S002","SIMULADO"
"150",6,5,1,"S002","SIMULADO"
"151",7,5,1.5,"S002","SIMULADO"
"152",8,1,0.2,"S002","SIMULADO"
"153",9,4,0.6,"S002","SIMULADO"
"154",10,6,2.5,"S002","SIMULADO"
"155",11,3,1,"S002","SIMULADO"
"156",12,2,0.7,"S002","SIMULADO"
"157",13,5,0.6,"S002","SIMULADO"
"158",14,4,0.8,"S002","SIMULADO"
"159",15,3,1.2,"S002","SIMULADO"
"160",16,1,0.3,"S002","SIMULADO"
"161",17,2,1,"S002","SIMULADO"
"162",18,6,2.5,"S002","SIMULADO"
"163",19,2,0.6,"S002","SIMULADO"
"164",20,5,1,"S002","SIMULADO"
"165",21,1,0.3,"S002","SIMULADO"
"166",22,3,2,"S002","SIMULADO"
"167",23,6,3,"S002","SIMULADO"
"168",24,4,0.9,"S002","SIMULADO"
"169",1,3,5,"S002","VIRTUAL"
"170",2,4,5.3,"S002","VIRTUAL"
"171",3,1,1,"S002","VIRTUAL"
"172",4,6,4,"S002","VIRTUAL"
"173",5,2,2,"S002","VIRTUAL"
"174",6,5,4.5,"S002","VIRTUAL"
"175",7,6,5,"S002","VIRTUAL"
"176",8,3,2.8,"S002","VIRTUAL"
"177",9,1,1,"S002","VIRTUAL"
"178",10,4,3.5,"S002","VIRTUAL"
"179",11,5,4,"S002","VIRTUAL"
"180",12,2,2.3,"S002","VIRTUAL"
"181",13,4,3.5,"S002","VIRTUAL"
"182",14,3,3,"S002","VIRTUAL"
"183",15,5,4,"S002","VIRTUAL"
"184",16,1,0.8,"S002","VIRTUAL"
"185",17,2,2,"S002","VIRTUAL"
"186",18,6,5.5,"S002","VIRTUAL"
"187",19,2,2.3,"S002","VIRTUAL"
"188",20,5,4,"S002","VIRTUAL"
"189",21,4,4.5,"S002","VIRTUAL"
"190",22,6,4.8,"S002","VIRTUAL"
"191",23,1,1,"S002","VIRTUAL"
"192",24,3,3,"S002","VIRTUAL"
"193",1,1,0.6,"S003","INDVIRTUAL"
"194",2,5,2.3,"S003","INDVIRTUAL"
"195",3,2,1.7,"S003","INDVIRTUAL"
"196",4,4,2.3,"S003","INDVIRTUAL"
"197",5,3,3,"S003","INDVIRTUAL"
"198",6,6,3.4,"S003","INDVIRTUAL"
"199",7,4,2.8,"S003","INDVIRTUAL"
"200",8,1,0.5,"S003","INDVIRTUAL"
"201",9,2,1.4,"S003","INDVIRTUAL"
"202",10,3,2.5,"S003","INDVIRTUAL"
"203",11,5,2.5,"S003","INDVIRTUAL"
"204",12,6,3,"S003","INDVIRTUAL"
"205",13,6,3.5,"S003","INDVIRTUAL"
"206",14,2,1.8,"S003","INDVIRTUAL"
"207",15,1,0.6,"S003","INDVIRTUAL"
"208",16,3,2.4,"S003","INDVIRTUAL"
"209",17,5,2.3,"S003","INDVIRTUAL"
"210",18,4,2,"S003","INDVIRTUAL"
"211",19,6,2.3,"S003","INDVIRTUAL"
"212",20,3,2,"S003","INDVIRTUAL"
"213",21,5,2.7,"S003","INDVIRTUAL"
"214",22,2,1.5,"S003","INDVIRTUAL"
"215",23,4,2.8,"S003","INDVIRTUAL"
"216",24,1,0.6,"S003","INDVIRTUAL"
"217",1,6,2.8,"S003","REAL"
"218",2,4,2.5,"S003","REAL"
"219",3,3,2.5,"S003","REAL"
"220",4,1,1.4,"S003","REAL"
"221",5,2,2.8,"S003","REAL"
"222",6,5,3.4,"S003","REAL"
"223",7,6,3.8,"S003","REAL"
"224",8,1,1.3,"S003","REAL"
"225",9,5,3.3,"S003","REAL"
"226",10,4,3.5,"S003","REAL"
"227",11,3,2.8,"S003","REAL"
"228",12,2,2.4,"S003","REAL"
"229",13,1,0.8,"S003","REAL"
"230",14,6,3.4,"S003","REAL"
"231",15,2,1.5,"S003","REAL"
"232",16,5,3,"S003","REAL"
"233",17,3,3,"S003","REAL"
"234",18,4,3.4,"S003","REAL"
"235",19,2,1.7,"S003","REAL"
"236",20,4,3.5,"S003","REAL"
"237",21,3,3,"S003","REAL"
"238",22,1,1,"S003","REAL"
"239",23,6,3.2,"S003","REAL"
"240",24,5,3.5,"S003","REAL"
"241",1,1,0.25,"S003","SIMULADO"
"242",2,4,0.15,"S003","SIMULADO"
"243",3,3,0.3,"S003","SIMULADO"
"244",4,2,0.25,"S003","SIMULADO"
"245",5,6,1.3,"S003","SIMULADO"
"246",6,5,1,"S003","SIMULADO"
"247",7,2,0.4,"S003","SIMULADO"
"248",8,1,0.4,"S003","SIMULADO"
"249",9,6,1.5,"S003","SIMULADO"
"250",10,3,1,"S003","SIMULADO"
"251",11,4,0.63,"S003","SIMULADO"
"252",12,5,0.8,"S003","SIMULADO"
"253",13,2,0.4,"S003","SIMULADO"
"254",14,5,0.5,"S003","SIMULADO"
"255",15,1,0.4,"S003","SIMULADO"
"256",16,4,0.6,"S003","SIMULADO"
"257",17,6,1.5,"S003","SIMULADO"
"258",18,3,1,"S003","SIMULADO"
"259",19,5,1.2,"S003","SIMULADO"
"260",20,6,0.9,"S003","SIMULADO"
"261",21,2,0.4,"S003","SIMULADO"
"262",22,3,0.7,"S003","SIMULADO"
"263",23,1,0.3,"S003","SIMULADO"
"264",24,4,0.3,"S003","SIMULADO"
"265",1,6,3,"S003","VIRTUAL"
"266",2,1,0.6,"S003","VIRTUAL"
"267",3,5,2,"S003","VIRTUAL"
"268",4,2,1.7,"S003","VIRTUAL"
"269",5,4,2.5,"S003","VIRTUAL"
"270",6,3,2.7,"S003","VIRTUAL"
"271",1,6,3.5,"S004","INDVIRTUAL"
"272",2,5,3.5,"S004","INDVIRTUAL"
"273",3,2,3,"S004","INDVIRTUAL"
"274",4,4,3.75,"S004","INDVIRTUAL"
"275",5,3,3.5,"S004","INDVIRTUAL"
"276",6,1,1.5,"S004","INDVIRTUAL"
"277",7,5,3.5,"S004","INDVIRTUAL"
"278",8,3,3.75,"S004","INDVIRTUAL"
"279",9,1,1.5,"S004","INDVIRTUAL"
"280",10,4,3.75,"S004","INDVIRTUAL"
"281",11,6,4,"S004","INDVIRTUAL"
"282",12,2,3.5,"S004","INDVIRTUAL"
"283",13,1,1.5,"S004","INDVIRTUAL"
"284",14,2,3.5,"S004","INDVIRTUAL"
"285",15,6,4,"S004","INDVIRTUAL"
"286",16,3,3.5,"S004","INDVIRTUAL"
"287",17,4,3.75,"S004","INDVIRTUAL"
"288",18,5,3.5,"S004","INDVIRTUAL"
"289",19,1,1.5,"S004","INDVIRTUAL"
"290",20,2,3,"S004","INDVIRTUAL"
"291",21,5,4,"S004","INDVIRTUAL"
"292",22,3,3.5,"S004","INDVIRTUAL"
"293",23,6,3.75,"S004","INDVIRTUAL"
"294",24,4,3,"S004","INDVIRTUAL"
"295",1,4,3.5,"S004","REAL"
"296",2,1,2,"S004","REAL"
"297",3,5,4,"S004","REAL"
"298",4,3,3.75,"S004","REAL"
"299",5,6,3.75,"S004","REAL"
"300",6,2,3.5,"S004","REAL"
"301",7,2,3,"S004","REAL"
"302",8,1,1.5,"S004","REAL"
"303",9,5,4,"S004","REAL"
"304",10,4,3.5,"S004","REAL"
"305",11,3,3.5,"S004","REAL"
"306",12,6,3.75,"S004","REAL"
"307",13,6,4,"S004","REAL"
"308",14,1,1.5,"S004","REAL"
"309",15,4,3,"S004","REAL"
"310",16,5,3.5,"S004","REAL"
"311",17,3,3.5,"S004","REAL"
"312",18,2,3,"S004","REAL"
"313",19,1,1.5,"S004","REAL"
"314",20,5,4,"S004","REAL"
"315",21,2,3,"S004","REAL"
"316",22,6,4,"S004","REAL"
"317",23,3,3,"S004","REAL"
"318",24,4,3.75,"S004","REAL"
"319",1,6,3,"S004","SIMULADO"
"320",2,3,2,"S004","SIMULADO"
"321",3,5,3,"S004","SIMULADO"
"322",4,1,0.5,"S004","SIMULADO"
"323",5,2,1.5,"S004","SIMULADO"
"324",6,4,1.5,"S004","SIMULADO"
"325",7,5,3,"S004","SIMULADO"
"326",8,1,1,"S004","SIMULADO"
"327",9,2,1.5,"S004","SIMULADO"
"328",10,3,2,"S004","SIMULADO"
"329",11,4,1.5,"S004","SIMULADO"
"330",12,6,3,"S004","SIMULADO"
"331",13,4,0.5,"S004","SIMULADO"
"332",14,5,3,"S004","SIMULADO"
"333",15,2,1,"S004","SIMULADO"
"334",16,3,3,"S004","SIMULADO"
"335",17,6,3.5,"S004","SIMULADO"
"336",18,1,1,"S004","SIMULADO"
"337",19,4,1,"S004","SIMULADO"
"338",20,3,2,"S004","SIMULADO"
"339",21,1,1,"S004","SIMULADO"
"340",22,5,1.5,"S004","SIMULADO"
"341",23,6,2.5,"S004","SIMULADO"
"342",24,2,1,"S004","SIMULADO"
"343",1,5,4,"S004","VIRTUAL"
"344",2,3,3.5,"S004","VIRTUAL"
"345",3,4,3.5,"S004","VIRTUAL"
"346",4,6,4,"S004","VIRTUAL"
"347",5,2,3,"S004","VIRTUAL"
"348",6,1,1.5,"S004","VIRTUAL"
"349",7,1,1.5,"S004","VIRTUAL"
"350",8,3,4,"S004","VIRTUAL"
"351",9,4,4.5,"S004","VIRTUAL"
"352",10,2,3.5,"S004","VIRTUAL"
"353",11,6,4,"S004","VIRTUAL"
"354",12,5,4.5,"S004","VIRTUAL"
