"","Trial","Dist_fis","Respuesta","Sujeto","Bloque"
"629",23,6,2,"S007","SIMULADO"
"630",24,4,1,"S007","SIMULADO"
"631",1,6,5,"S007","VIRTUAL"
"632",2,3,4.5,"S007","VIRTUAL"
"633",3,5,4.5,"S007","VIRTUAL"
"634",4,1,0.7,"S007","VIRTUAL"
"635",5,2,1.5,"S007","VIRTUAL"
"636",6,4,4,"S007","VIRTUAL"
"637",7,5,4.5,"S007","VIRTUAL"
"638",8,1,1,"S007","VIRTUAL"
"639",9,2,3.5,"S007","VIRTUAL"
"640",10,3,5,"S007","VIRTUAL"
"641",11,4,5,"S007","VIRTUAL"
"642",12,6,5.5,"S007","VIRTUAL"
"643",13,4,4,"S007","VIRTUAL"
"644",14,5,5,"S007","VIRTUAL"
"645",15,2,2,"S007","VIRTUAL"
"646",16,3,2.5,"S007","VIRTUAL"
"647",17,6,5.5,"S007","VIRTUAL"
"648",18,1,0.5,"S007","VIRTUAL"
"649",19,4,3,"S007","VIRTUAL"
"650",20,3,3.3,"S007","VIRTUAL"
"651",21,1,0.8,"S007","VIRTUAL"
"652",22,5,5.5,"S007","VIRTUAL"
"653",23,6,6,"S007","VIRTUAL"
"654",24,2,2,"S007","VIRTUAL"
"655",1,6,3.5,"S008","INDVIRTUAL"
"656",2,3,2,"S008","INDVIRTUAL"
"657",3,5,2.5,"S008","INDVIRTUAL"
"658",4,1,1,"S008","INDVIRTUAL"
"659",5,2,2,"S008","INDVIRTUAL"
"660",6,4,4,"S008","INDVIRTUAL"
"661",7,5,3,"S008","INDVIRTUAL"
"662",8,1,1.5,"S008","INDVIRTUAL"
"663",9,2,2.5,"S008","INDVIRTUAL"
"664",10,3,3,"S008","INDVIRTUAL"
"665",11,4,5,"S008","INDVIRTUAL"
"666",12,6,5,"S008","INDVIRTUAL"
"667",13,4,3.5,"S008","INDVIRTUAL"
"668",14,5,3.5,"S008","INDVIRTUAL"
"669",15,2,2,"S008","INDVIRTUAL"
"670",16,3,3,"S008","INDVIRTUAL"
"671",17,6,4,"S008","INDVIRTUAL"
"672",18,1,1,"S008","INDVIRTUAL"
"673",19,4,5,"S008","INDVIRTUAL"
"674",20,3,3.5,"S008","INDVIRTUAL"
"675",21,1,2,"S008","INDVIRTUAL"
"676",22,5,3,"S008","INDVIRTUAL"
"677",23,6,4.5,"S008","INDVIRTUAL"
"678",24,2,2.5,"S008","INDVIRTUAL"
"679",1,4,5,"S008","REAL"
"680",2,1,2,"S008","REAL"
"681",3,5,6,"S008","REAL"
"682",4,3,5,"S008","REAL"
"683",5,6,6,"S008","REAL"
"684",6,2,3,"S008","REAL"
"685",7,2,3,"S008","REAL"
"686",8,1,1.5,"S008","REAL"
"687",9,5,5,"S008","REAL"
"688",10,4,5,"S008","REAL"
"689",11,3,3,"S008","REAL"
"690",12,6,6,"S008","REAL"
"691",13,6,6,"S008","REAL"
"692",14,1,1.5,"S008","REAL"
"693",15,4,4,"S008","REAL"
"694",16,5,6,"S008","REAL"
"695",17,3,6,"S008","REAL"
"696",18,2,3,"S008","REAL"
"697",19,1,2,"S008","REAL"
"698",20,5,6,"S008","REAL"
"699",21,2,3,"S008","REAL"
"700",22,6,6,"S008","REAL"
"701",23,3,4,"S008","REAL"
"702",24,4,4,"S008","REAL"
"703",1,5,1.5,"S008","SIMULADO"
"704",2,3,1.5,"S008","SIMULADO"
"705",3,4,1,"S008","SIMULADO"
"706",4,6,2,"S008","SIMULADO"
"707",5,2,1.5,"S008","SIMULADO"
"708",6,1,2,"S008","SIMULADO"
"709",7,1,2,"S008","SIMULADO"
"710",8,3,2.5,"S008","SIMULADO"
"711",9,4,1,"S008","SIMULADO"
"712",10,2,1,"S008","SIMULADO"
"713",11,6,2.5,"S008","SIMULADO"
"714",12,5,2.5,"S008","SIMULADO"
"715",13,3,2.5,"S008","SIMULADO"
"716",14,1,3,"S008","SIMULADO"
"717",15,5,2,"S008","SIMULADO"
"718",16,4,2,"S008","SIMULADO"
"719",17,6,3.5,"S008","SIMULADO"
"720",18,2,1.5,"S008","SIMULADO"
"721",19,2,1.5,"S008","SIMULADO"
"722",20,4,1.5,"S008","SIMULADO"
"723",21,3,3,"S008","SIMULADO"
"724",22,5,4,"S008","SIMULADO"
"725",23,6,3.5,"S008","SIMULADO"
"726",24,1,1.5,"S008","SIMULADO"
"727",1,6,4,"S008","VIRTUAL"
"728",2,5,3,"S008","VIRTUAL"
"729",3,2,2,"S008","VIRTUAL"
"730",4,4,4,"S008","VIRTUAL"
"731",5,3,3,"S008","VIRTUAL"
"732",6,1,1.5,"S008","VIRTUAL"
"733",7,5,4,"S008","VIRTUAL"
"734",8,3,4,"S008","VIRTUAL"
"735",9,1,2,"S008","VIRTUAL"
"736",10,4,5,"S008","VIRTUAL"
"737",11,6,5,"S008","VIRTUAL"
"738",12,2,2.5,"S008","VIRTUAL"
"739",13,1,1.5,"S008","VIRTUAL"
"740",14,2,4,"S008","VIRTUAL"
"741",15,6,5,"S008","VIRTUAL"
"742",16,3,3.5,"S008","VIRTUAL"
"743",17,4,4,"S008","VIRTUAL"
"744",18,5,4,"S008","VIRTUAL"
"745",19,1,2.5,"S008","VIRTUAL"
"746",20,2,4,"S008","VIRTUAL"
"747",21,5,5.5,"S008","VIRTUAL"
"748",22,3,4,"S008","VIRTUAL"
"749",23,6,5.5,"S008","VIRTUAL"
"750",24,4,4,"S008","VIRTUAL"
"751",1,6,4,"S009","INDVIRTUAL"
"752",2,3,3.5,"S009","INDVIRTUAL"
"753",3,5,3.5,"S009","INDVIRTUAL"
"754",4,1,1,"S009","INDVIRTUAL"
"755",5,2,2,"S009","INDVIRTUAL"
"756",6,4,3,"S009","INDVIRTUAL"
"757",7,5,4,"S009","INDVIRTUAL"
"758",8,1,1,"S009","INDVIRTUAL"
"759",9,2,2,"S009","INDVIRTUAL"
"760",10,3,3.5,"S009","INDVIRTUAL"
"761",11,4,4,"S009","INDVIRTUAL"
"762",12,6,4,"S009","INDVIRTUAL"
"763",13,4,4,"S009","INDVIRTUAL"
"764",14,5,3.5,"S009","INDVIRTUAL"
"765",15,2,2,"S009","INDVIRTUAL"
"766",16,3,2.5,"S009","INDVIRTUAL"
"767",17,6,4,"S009","INDVIRTUAL"
"768",18,1,1,"S009","INDVIRTUAL"
"769",19,4,3,"S009","INDVIRTUAL"
"770",20,3,3,"S009","INDVIRTUAL"
"771",21,1,1,"S009","INDVIRTUAL"
"772",22,5,3,"S009","INDVIRTUAL"
"773",23,6,3,"S009","INDVIRTUAL"
"774",24,2,2,"S009","INDVIRTUAL"
"775",1,5,2,"S009","REAL"
"776",2,3,2.5,"S009","REAL"
"777",3,4,3,"S009","REAL"
"778",4,6,3,"S009","REAL"
"779",5,2,2,"S009","REAL"
"780",6,1,1,"S009","REAL"
"781",7,1,1,"S009","REAL"
"782",8,3,2,"S009","REAL"
"783",9,4,3,"S009","REAL"
"784",10,2,3,"S009","REAL"
"785",11,6,3.5,"S009","REAL"
"786",12,5,3.5,"S009","REAL"
"787",13,3,3,"S009","REAL"
"788",14,1,1,"S009","REAL"
"789",15,5,3,"S009","REAL"
"790",16,4,3,"S009","REAL"
"791",17,6,3.5,"S009","REAL"
"792",18,2,2,"S009","REAL"
"793",19,2,1.5,"S009","REAL"
"794",20,4,2.5,"S009","REAL"
"795",21,3,3,"S009","REAL"
"796",22,5,3.5,"S009","REAL"
"797",23,6,3.5,"S009","REAL"
"798",24,1,1,"S009","REAL"
"799",1,3,0.5,"S009","SIMULADO"
"800",2,4,0.5,"S009","SIMULADO"
"801",3,1,0.25,"S009","SIMULADO"
"802",4,6,0.5,"S009","SIMULADO"
"803",5,2,0.5,"S009","SIMULADO"
"804",6,5,1,"S009","SIMULADO"
"805",7,6,1,"S009","SIMULADO"
"806",8,3,1,"S009","SIMULADO"
"807",9,1,0.5,"S009","SIMULADO"
"808",10,4,0.25,"S009","SIMULADO"
"809",11,5,0.5,"S009","SIMULADO"
"810",12,2,0.25,"S009","SIMULADO"
"811",13,4,0.25,"S009","SIMULADO"
"812",14,3,0.5,"S009","SIMULADO"
"813",15,5,1,"S009","SIMULADO"
"814",16,1,0.25,"S009","SIMULADO"
"815",17,2,0.25,"S009","SIMULADO"
"816",18,6,0.5,"S009","SIMULADO"
"817",19,2,0.25,"S009","SIMULADO"
"818",20,5,0.5,"S009","SIMULADO"
"819",21,4,0.25,"S009","SIMULADO"
"820",22,6,1,"S009","SIMULADO"
"821",23,1,0.25,"S009","SIMULADO"
"822",24,3,0.5,"S009","SIMULADO"
"823",1,4,3,"S009","VIRTUAL"
"824",2,2,2,"S009","VIRTUAL"
"825",3,1,1,"S009","VIRTUAL"
"826",4,3,2,"S009","VIRTUAL"
"827",5,6,3,"S009","VIRTUAL"
"828",6,5,3,"S009","VIRTUAL"
"829",7,5,3,"S009","VIRTUAL"
"830",8,1,1,"S009","VIRTUAL"
"831",9,4,2,"S009","VIRTUAL"
"832",10,6,3,"S009","VIRTUAL"
"833",11,3,2,"S009","VIRTUAL"
"834",12,2,2,"S009","VIRTUAL"
"835",13,5,3,"S009","VIRTUAL"
"836",14,4,3,"S009","VIRTUAL"
"837",15,3,2.5,"S009","VIRTUAL"
"838",16,1,1,"S009","VIRTUAL"
"839",17,2,2,"S009","VIRTUAL"
"840",18,6,3,"S009","VIRTUAL"
"841",19,2,2,"S009","VIRTUAL"
"842",20,5,3,"S009","VIRTUAL"
"843",21,1,1,"S009","VIRTUAL"
"844",22,3,3,"S009","VIRTUAL"
"845",23,6,3.5,"S009","VIRTUAL"
"846",24,4,3,"S009","VIRTUAL"
"847",1,5,5,"S010","INDVIRTUAL"
"848",2,3,6,"S010","INDVIRTUAL"
"849",3,4,7.5,"S010","INDVIRTUAL"
"850",4,6,7.5,"S010","INDVIRTUAL"
"851",5,2,5,"S010","INDVIRTUAL"
"852",6,1,3,"S010","INDVIRTUAL"
"853",7,1,2.5,"S010","INDVIRTUAL"
"854",8,3,5,"S010","INDVIRTUAL"
"855",9,4,6.5,"S010","INDVIRTUAL"
"856",10,2,4,"S010","INDVIRTUAL"
"857",11,6,7,"S010","INDVIRTUAL"
"858",12,5,8,"S010","INDVIRTUAL"
"859",13,3,7.5,"S010","INDVIRTUAL"
"860",14,1,5,"S010","INDVIRTUAL"
"861",15,5,8,"S010","INDVIRTUAL"
"862",16,4,7,"S010","INDVIRTUAL"
"863",17,6,8,"S010","INDVIRTUAL"
"864",18,2,3,"S010","INDVIRTUAL"
"865",19,2,3,"S010","INDVIRTUAL"
"866",20,4,7,"S010","INDVIRTUAL"
"867",21,3,5,"S010","INDVIRTUAL"
"868",22,5,6,"S010","INDVIRTUAL"
"869",23,6,8.5,"S010","INDVIRTUAL"
"870",24,1,4,"S010","INDVIRTUAL"
"871",1,6,3.5,"S010","REAL"
"872",2,5,4,"S010","REAL"
"873",3,2,5.5,"S010","REAL"
"874",4,4,7,"S010","REAL"
"875",5,3,5,"S010","REAL"
"876",6,1,1.5,"S010","REAL"
"877",7,5,5,"S010","REAL"
"878",8,3,7,"S010","REAL"
"879",9,1,1.5,"S010","REAL"
"880",10,4,5,"S010","REAL"
"881",11,6,7.5,"S010","REAL"
"882",12,2,3,"S010","REAL"
"883",13,1,2,"S010","REAL"
"884",14,2,4.5,"S010","REAL"
"885",15,6,7,"S010","REAL"
"886",16,3,3.5,"S010","REAL"
"887",17,4,7,"S010","REAL"
"888",18,5,6,"S010","REAL"
"889",19,1,1.5,"S010","REAL"
"890",20,2,4,"S010","REAL"
"891",21,5,7,"S010","REAL"
"892",22,3,3.5,"S010","REAL"
"893",23,6,7,"S010","REAL"
"894",24,4,7,"S010","REAL"
"895",1,6,5,"S010","SIMULADO"
"896",2,3,1.5,"S010","SIMULADO"
"897",3,5,2.5,"S010","SIMULADO"
"898",4,1,1,"S010","SIMULADO"
"899",5,2,2,"S010","SIMULADO"
"900",6,4,2,"S010","SIMULADO"
"901",7,5,3,"S010","SIMULADO"
"902",8,1,1,"S010","SIMULADO"
"903",9,2,2,"S010","SIMULADO"
"904",10,3,2,"S010","SIMULADO"
"905",11,4,3,"S010","SIMULADO"
"906",12,6,4.5,"S010","SIMULADO"
"907",13,4,2.5,"S010","SIMULADO"
"908",14,5,3,"S010","SIMULADO"
"909",15,2,2,"S010","SIMULADO"
"910",16,3,2,"S010","SIMULADO"
"911",17,6,3.5,"S010","SIMULADO"
"912",18,1,1,"S010","SIMULADO"
"913",19,4,2.5,"S010","SIMULADO"
"914",20,3,2.5,"S010","SIMULADO"
"915",21,1,1.5,"S010","SIMULADO"
"916",22,5,3,"S010","SIMULADO"
"917",23,6,5,"S010","SIMULADO"
"918",24,2,2.5,"S010","SIMULADO"
"919",1,4,6,"S010","VIRTUAL"
"920",2,2,8,"S010","VIRTUAL"
"921",3,1,3,"S010","VIRTUAL"
"922",4,3,7,"S010","VIRTUAL"
"923",5,6,8,"S010","VIRTUAL"
"924",6,5,5,"S010","VIRTUAL"
"925",7,5,6,"S010","VIRTUAL"
"926",8,1,2,"S010","VIRTUAL"
"927",9,4,6,"S010","VIRTUAL"
"928",10,6,7,"S010","VIRTUAL"
"929",11,3,7,"S010","VIRTUAL"
"930",12,2,3,"S010","VIRTUAL"
"931",13,5,4,"S010","VIRTUAL"
"932",14,4,6,"S010","VIRTUAL"
"933",15,3,7,"S010","VIRTUAL"
"934",16,1,1.5,"S010","VIRTUAL"
"935",17,2,2,"S010","VIRTUAL"
"936",18,6,7,"S010","VIRTUAL"
"937",19,2,2,"S010","VIRTUAL"
"938",20,5,6,"S010","VIRTUAL"
"939",21,1,2.5,"S010","VIRTUAL"
"940",22,3,5.5,"S010","VIRTUAL"
"941",23,6,6.5,"S010","VIRTUAL"
"942",24,4,6.5,"S010","VIRTUAL"
"943",1,2,2,"S011","INDVIRTUAL"
"944",2,6,3,"S011","INDVIRTUAL"
"945",3,1,0.8,"S011","INDVIRTUAL"
"946",4,3,2.5,"S011","INDVIRTUAL"
"947",5,4,3,"S011","INDVIRTUAL"
"948",6,5,3,"S011","INDVIRTUAL"
"949",7,1,0.8,"S011","INDVIRTUAL"
"950",8,4,3,"S011","INDVIRTUAL"
"951",9,2,2,"S011","INDVIRTUAL"
"952",10,6,3,"S011","INDVIRTUAL"
"953",11,5,3,"S011","INDVIRTUAL"
"954",12,3,2.5,"S011","INDVIRTUAL"
"955",13,6,3.5,"S011","INDVIRTUAL"
"956",14,2,1.5,"S011","INDVIRTUAL"
"957",15,4,2.5,"S011","INDVIRTUAL"
"958",16,3,2.5,"S011","INDVIRTUAL"
"959",17,5,3,"S011","INDVIRTUAL"
"960",18,1,0.8,"S011","INDVIRTUAL"
"961",19,4,3,"S011","INDVIRTUAL"
"962",20,6,3.25,"S011","INDVIRTUAL"
"963",21,5,3,"S011","INDVIRTUAL"
"964",22,1,1,"S011","INDVIRTUAL"
"965",23,2,2,"S011","INDVIRTUAL"
"966",24,3,3,"S011","INDVIRTUAL"
"967",1,6,3,"S011","REAL"
"968",2,4,3,"S011","REAL"
"969",3,5,3.25,"S011","REAL"
"970",4,2,2,"S011","REAL"
"971",5,1,1,"S011","REAL"
"972",6,3,3.5,"S011","REAL"
"973",7,1,0.8,"S011","REAL"
"974",8,5,3,"S011","REAL"
"975",9,4,3.25,"S011","REAL"
"976",10,3,3,"S011","REAL"
"977",11,6,3.5,"S011","REAL"
"978",12,2,2,"S011","REAL"
"979",13,5,3,"S011","REAL"
"980",14,6,3.5,"S011","REAL"
"981",15,2,2,"S011","REAL"
"982",16,4,3,"S011","REAL"
"983",17,3,3,"S011","REAL"
"984",18,1,0.8,"S011","REAL"
"985",19,5,2.5,"S011","REAL"
"986",20,1,0.8,"S011","REAL"
"987",21,2,1.5,"S011","REAL"
"988",22,3,3,"S011","REAL"
"989",23,4,3,"S011","REAL"
"990",24,6,3.25,"S011","REAL"
"991",1,5,1,"S011","SIMULADO"
"992",2,3,0.5,"S011","SIMULADO"
"993",3,2,0.3,"S011","SIMULADO"
"994",4,6,1,"S011","SIMULADO"
"995",5,1,0,"S011","SIMULADO"
"996",6,4,0.3,"S011","SIMULADO"
"997",7,5,1,"S011","SIMULADO"
"998",8,4,0.3,"S011","SIMULADO"
"999",9,2,0.5,"S011","SIMULADO"
"1000",10,6,1.2,"S011","SIMULADO"
"1001",11,3,0.8,"S011","SIMULADO"
"1002",12,1,0,"S011","SIMULADO"
"1003",13,6,1.5,"S011","SIMULADO"
"1004",14,3,0.8,"S011","SIMULADO"
"1005",15,5,0.8,"S011","SIMULADO"
"1006",16,4,0.25,"S011","SIMULADO"
"1007",17,1,0.5,"S011","SIMULADO"
"1008",18,2,0.5,"S011","SIMULADO"
"1009",19,2,0.4,"S011","SIMULADO"
"1010",20,6,1.5,"S011","SIMULADO"
"1011",21,4,0.3,"S011","SIMULADO"
"1012",22,1,0.1,"S011","SIMULADO"
"1013",23,5,0.5,"S011","SIMULADO"
"1014",24,3,0.5,"S011","SIMULADO"
"1015",1,4,3,"S011","VIRTUAL"
"1016",2,6,3,"S011","VIRTUAL"
"1017",3,2,1,"S011","VIRTUAL"
"1018",4,3,2,"S011","VIRTUAL"
"1019",5,5,3.5,"S011","VIRTUAL"
"1020",6,1,0.3,"S011","VIRTUAL"
"1021",7,6,3,"S011","VIRTUAL"
"1022",8,1,0.4,"S011","VIRTUAL"
"1023",9,5,3.5,"S011","VIRTUAL"
"1024",10,2,2,"S011","VIRTUAL"
"1025",11,3,2.5,"S011","VIRTUAL"
"1026",12,4,3,"S011","VIRTUAL"
"1027",13,1,1,"S011","VIRTUAL"
"1028",14,6,3.25,"S011","VIRTUAL"
"1029",15,4,2.5,"S011","VIRTUAL"
"1030",16,2,1,"S011","VIRTUAL"
"1031",17,5,3.5,"S011","VIRTUAL"
"1032",18,3,2.5,"S011","VIRTUAL"
"1033",19,3,2,"S011","VIRTUAL"
"1034",20,4,2.5,"S011","VIRTUAL"
"1035",21,2,1.5,"S011","VIRTUAL"
"1036",22,6,3,"S011","VIRTUAL"
"1037",23,5,3.5,"S011","VIRTUAL"
"1038",24,1,0.5,"S011","VIRTUAL"
"1039",1,4,1.5,"S012","INDVIRTUAL"
"1040",2,2,0.9,"S012","INDVIRTUAL"
"1041",3,1,0.3,"S012","INDVIRTUAL"
"1042",4,3,1,"S012","INDVIRTUAL"
"1043",5,6,1.7,"S012","INDVIRTUAL"
"1044",6,5,1.7,"S012","INDVIRTUAL"
"1045",7,5,1.6,"S012","INDVIRTUAL"
"1046",8,1,0.2,"S012","INDVIRTUAL"
"1047",9,4,1.4,"S012","INDVIRTUAL"
"1048",10,6,1.7,"S012","INDVIRTUAL"
"1049",11,3,1.2,"S012","INDVIRTUAL"
"1050",12,2,0.6,"S012","INDVIRTUAL"
"1051",13,5,1.5,"S012","INDVIRTUAL"
"1052",14,4,1.5,"S012","INDVIRTUAL"
"1053",15,3,1.1,"S012","INDVIRTUAL"
"1054",16,1,0.25,"S012","INDVIRTUAL"
"1055",17,2,0.7,"S012","INDVIRTUAL"
"1056",18,6,1.8,"S012","INDVIRTUAL"
"1057",19,2,0.9,"S012","INDVIRTUAL"
"1058",20,5,1.2,"S012","INDVIRTUAL"
"1059",21,1,0.3,"S012","INDVIRTUAL"
"1060",22,3,1,"S012","INDVIRTUAL"
"1061",23,6,1.8,"S012","INDVIRTUAL"
"1062",24,4,1.5,"S012","INDVIRTUAL"
"1063",1,5,1.7,"S012","REAL"
"1064",2,3,1.5,"S012","REAL"
"1065",3,4,2,"S012","REAL"
"1066",4,6,2.2,"S012","REAL"
"1067",5,2,0.9,"S012","REAL"
"1068",6,1,0.3,"S012","REAL"
"1069",7,1,0.3,"S012","REAL"
"1070",8,3,1.5,"S012","REAL"
"1071",9,4,2,"S012","REAL"
"1072",10,2,1.2,"S012","REAL"
"1073",11,6,1.6,"S012","REAL"
"1074",12,5,1.5,"S012","REAL"
"1075",13,3,1.5,"S012","REAL"
"1076",14,1,0.2,"S012","REAL"
"1077",15,5,1.4,"S012","REAL"
"1078",16,4,1.7,"S012","REAL"
"1079",17,6,1.6,"S012","REAL"
"1080",18,2,0.8,"S012","REAL"
"1081",19,2,0.7,"S012","REAL"
"1082",20,4,1.5,"S012","REAL"
"1083",21,3,1.3,"S012","REAL"
"1084",22,5,1.5,"S012","REAL"
"1085",23,6,1.7,"S012","REAL"
"1086",24,1,0.3,"S012","REAL"
"1087",1,3,0.6,"S012","SIMULADO"
"1088",2,4,0.3,"S012","SIMULADO"
"1089",3,1,0.1,"S012","SIMULADO"
"1090",4,6,1,"S012","SIMULADO"
"1091",5,2,0.25,"S012","SIMULADO"
"1092",6,5,0.6,"S012","SIMULADO"
"1093",7,6,0.9,"S012","SIMULADO"
"1094",8,3,0.5,"S012","SIMULADO"
"1095",9,1,0.1,"S012","SIMULADO"
"1096",10,4,0.2,"S012","SIMULADO"
"1097",11,5,0.45,"S012","SIMULADO"
"1098",12,2,0.3,"S012","SIMULADO"
"1099",13,4,0.3,"S012","SIMULADO"
"1100",14,3,0.6,"S012","SIMULADO"
"1101",15,5,0.55,"S012","SIMULADO"
"1102",16,1,0.1,"S012","SIMULADO"
"1103",17,2,0.3,"S012","SIMULADO"
"1104",18,6,1,"S012","SIMULADO"
"1105",19,2,0.3,"S012","SIMULADO"
"1106",20,5,0.6,"S012","SIMULADO"
"1107",21,4,0.3,"S012","SIMULADO"
"1108",22,6,1,"S012","SIMULADO"
"1109",23,1,0.1,"S012","SIMULADO"
"1110",24,3,0.4,"S012","SIMULADO"
"1111",1,6,1.8,"S012","VIRTUAL"
"1112",2,3,1.6,"S012","VIRTUAL"
"1113",3,5,1.7,"S012","VIRTUAL"
"1114",4,1,0.4,"S012","VIRTUAL"
"1115",5,2,0.6,"S012","VIRTUAL"
"1116",6,4,2,"S012","VIRTUAL"
"1117",7,5,2,"S012","VIRTUAL"
"1118",8,1,0.3,"S012","VIRTUAL"
"1119",9,2,1,"S012","VIRTUAL"
"1120",10,3,1.7,"S012","VIRTUAL"
"1121",11,4,2,"S012","VIRTUAL"
"1122",12,6,2.4,"S012","VIRTUAL"
"1123",13,4,1.9,"S012","VIRTUAL"
"1124",14,5,1.8,"S012","VIRTUAL"
"1125",15,2,1,"S012","VIRTUAL"
"1126",16,3,1.6,"S012","VIRTUAL"
"1127",17,6,2.2,"S012","VIRTUAL"
"1128",18,1,0.4,"S012","VIRTUAL"
"1129",19,4,1.8,"S012","VIRTUAL"
"1130",20,3,1.6,"S012","VIRTUAL"
"1131",21,1,0.4,"S012","VIRTUAL"
"1132",22,5,2,"S012","VIRTUAL"
"1133",23,6,2.4,"S012","VIRTUAL"
"1134",24,2,1.5,"S012","VIRTUAL"
"1135",1,5,3,"S014","INDVIRTUAL"
"1136",2,3,3,"S014","INDVIRTUAL"
"1137",3,4,2,"S014","INDVIRTUAL"
"1138",4,6,4,"S014","INDVIRTUAL"
"1139",5,2,2,"S014","INDVIRTUAL"
"1140",6,1,1.5,"S014","INDVIRTUAL"
"1141",7,1,1.5,"S014","INDVIRTUAL"
"1142",8,3,5,"S014","INDVIRTUAL"
"1143",9,4,5,"S014","INDVIRTUAL"
"1144",10,2,3,"S014","INDVIRTUAL"
"1145",11,6,5,"S014","INDVIRTUAL"
"1146",12,5,4,"S014","INDVIRTUAL"
"1147",13,3,4,"S014","INDVIRTUAL"
"1148",14,1,1.5,"S014","INDVIRTUAL"
"1149",15,5,5,"S014","INDVIRTUAL"
"1150",16,4,5,"S014","INDVIRTUAL"
"1151",17,6,6,"S014","INDVIRTUAL"
"1152",18,2,5,"S014","INDVIRTUAL"
"1153",19,2,3,"S014","INDVIRTUAL"
"1154",20,4,4,"S014","INDVIRTUAL"
"1155",21,3,3,"S014","INDVIRTUAL"
"1156",22,5,3,"S014","INDVIRTUAL"
"1157",23,6,4,"S014","INDVIRTUAL"
"1158",24,1,2,"S014","INDVIRTUAL"
"1159",1,6,3,"S014","REAL"
"1160",2,5,3,"S014","REAL"
"1161",3,2,4,"S014","REAL"
"1162",4,4,5,"S014","REAL"
"1163",5,3,4,"S014","REAL"
"1164",6,1,2,"S014","REAL"
"1165",7,5,5,"S014","REAL"
"1166",8,3,5,"S014","REAL"
"1167",9,1,1.5,"S014","REAL"
"1168",10,4,5,"S014","REAL"
"1169",11,6,5,"S014","REAL"
"1170",12,2,2,"S014","REAL"
"1171",13,1,1,"S014","REAL"
"1172",14,2,3,"S014","REAL"
"1173",15,6,6,"S014","REAL"
"1174",16,3,4,"S014","REAL"
"1175",17,4,4,"S014","REAL"
"1176",18,5,5,"S014","REAL"
"1177",19,1,1,"S014","REAL"
"1178",20,2,3,"S014","REAL"
"1179",21,5,5,"S014","REAL"
"1180",22,3,5,"S014","REAL"
"1181",23,6,4,"S014","REAL"
"1182",24,4,4,"S014","REAL"
"1183",1,4,2,"S014","SIMULADO"
"1184",2,2,1.5,"S014","SIMULADO"
"1185",3,1,1.5,"S014","SIMULADO"
"1186",4,3,3,"S014","SIMULADO"
"1187",5,6,2.5,"S014","SIMULADO"
"1188",6,5,2,"S014","SIMULADO"
"1189",7,5,1.5,"S014","SIMULADO"
"1190",8,1,2,"S014","SIMULADO"
"1191",9,4,1.5,"S014","SIMULADO"
"1192",10,6,3,"S014","SIMULADO"
"1193",11,3,2.5,"S014","SIMULADO"
"1194",12,2,1.5,"S014","SIMULADO"
"1195",13,5,3,"S014","SIMULADO"
"1196",14,4,1.5,"S014","SIMULADO"
"1197",15,3,3,"S014","SIMULADO"
"1198",16,1,2,"S014","SIMULADO"
"1199",17,2,1.5,"S014","SIMULADO"
"1200",18,6,2.5,"S014","SIMULADO"
"1201",19,2,1,"S014","SIMULADO"
"1202",20,5,2,"S014","SIMULADO"
"1203",21,1,1.5,"S014","SIMULADO"
"1204",22,3,2,"S014","SIMULADO"
"1205",23,6,2.7,"S014","SIMULADO"
"1206",24,4,1.7,"S014","SIMULADO"
"1207",1,6,7,"S014","VIRTUAL"
"1208",2,3,6,"S014","VIRTUAL"
"1209",3,5,5,"S014","VIRTUAL"
"1210",4,1,3,"S014","VIRTUAL"
"1211",5,2,5,"S014","VIRTUAL"
"1212",6,4,7,"S014","VIRTUAL"
"1213",7,5,6,"S014","VIRTUAL"
"1214",8,1,2,"S014","VIRTUAL"
"1215",9,2,5,"S014","VIRTUAL"
"1216",10,3,5,"S014","VIRTUAL"
"1217",11,4,6,"S014","VIRTUAL"
"1218",12,6,6,"S014","VIRTUAL"
"1219",13,4,5,"S014","VIRTUAL"
"1220",14,5,5,"S014","VIRTUAL"
"1221",15,2,4,"S014","VIRTUAL"
"1222",16,3,6,"S014","VIRTUAL"
"1223",17,6,5,"S014","VIRTUAL"
"1224",18,1,2,"S014","VIRTUAL"
"1225",19,4,5,"S014","VIRTUAL"
"1226",20,3,4,"S014","VIRTUAL"
"1227",21,1,2,"S014","VIRTUAL"
"1228",22,5,6,"S014","VIRTUAL"
"1229",23,6,7,"S014","VIRTUAL"
"1230",24,2,3,"S014","VIRTUAL"
"1231",1,1,1.5,"S015","INDVIRTUAL"
"1232",2,6,4,"S015","INDVIRTUAL"
"1233",3,2,4,"S015","INDVIRTUAL"
"1234",4,5,5,"S015","INDVIRTUAL"
"1235",5,3,5,"S015","INDVIRTUAL"
"1236",6,4,5,"S015","INDVIRTUAL"
"1237",7,6,5,"S015","INDVIRTUAL"
"1238",8,1,1.5,"S015","INDVIRTUAL"
"1239",9,5,4,"S015","INDVIRTUAL"
"1240",10,4,5,"S015","INDVIRTUAL"
"1241",11,2,4,"S015","INDVIRTUAL"
"1242",12,3,3,"S015","INDVIRTUAL"
"1243",13,4,4,"S015","INDVIRTUAL"
"1244",14,3,4,"S015","INDVIRTUAL"
"1245",15,6,5,"S015","INDVIRTUAL"
"1246",16,2,3,"S015","INDVIRTUAL"
