"trial" "distancia" "respuesta" "nsub" "condicion" "SesgoAbs" "SesgoRel"
15 4 6 6 "INTERNET" 2 0.5
16 5 4 6 "INTERNET" -1 -0.2
17 6 6 6 "INTERNET" 0 0
18 2 4 6 "INTERNET" 2 1
19 2 4 6 "INTERNET" 2 1
20 5 5 6 "INTERNET" 0 0
21 3 4 6 "INTERNET" 1 0.333333333333333
22 1 3 6 "INTERNET" 2 2
23 4 5 6 "INTERNET" 1 0.25
24 6 6 6 "INTERNET" 0 0
25 2 5 6 "INTERNET" 3 1.5
26 6 6 6 "INTERNET" 0 0
27 4 6 6 "INTERNET" 2 0.5
28 3 5 6 "INTERNET" 2 0.666666666666667
29 1 4 6 "INTERNET" 3 3
30 5 5 6 "INTERNET" 0 0
1 3 2 9 "INTERNET" -1 -0.333333333333333
2 2 2 9 "INTERNET" 0 0
3 6 5 9 "INTERNET" -1 -0.166666666666667
4 5 5 9 "INTERNET" 0 0
5 4 4 9 "INTERNET" 0 0
6 1 1 9 "INTERNET" 0 0
7 6 5 9 "INTERNET" -1 -0.166666666666667
8 4 5 9 "INTERNET" 1 0.25
9 1 2 9 "INTERNET" 1 1
10 3 5 9 "INTERNET" 2 0.666666666666667
11 2 3 9 "INTERNET" 1 0.5
12 5 5 9 "INTERNET" 0 0
13 1 1 9 "INTERNET" 0 0
14 4 6 9 "INTERNET" 2 0.5
15 2 2 9 "INTERNET" 0 0
16 3 3 9 "INTERNET" 0 0
17 5 5 9 "INTERNET" 0 0
18 6 5 9 "INTERNET" -1 -0.166666666666667
19 1 1 9 "INTERNET" 0 0
20 5 5 9 "INTERNET" 0 0
21 2 3 9 "INTERNET" 1 0.5
22 4 4 9 "INTERNET" 0 0
23 6 5 9 "INTERNET" -1 -0.166666666666667
24 3 3 9 "INTERNET" 0 0
25 2 2 9 "INTERNET" 0 0
26 1 1 9 "INTERNET" 0 0
27 6 5 9 "INTERNET" -1 -0.166666666666667
28 3 4 9 "INTERNET" 1 0.333333333333333
29 5 4 9 "INTERNET" -1 -0.2
30 4 3 9 "INTERNET" -1 -0.25
1 1 2 10 "INTERNET" 1 1
2 4 5 10 "INTERNET" 1 0.25
3 6 7 10 "INTERNET" 1 0.166666666666667
4 2 3 10 "INTERNET" 1 0.5
5 5 4 10 "INTERNET" -1 -0.2
6 3 3 10 "INTERNET" 0 0
7 5 4 10 "INTERNET" -1 -0.2
8 6 5 10 "INTERNET" -1 -0.166666666666667
9 4 5 10 "INTERNET" 1 0.25
10 3 4 10 "INTERNET" 1 0.333333333333333
11 1 2 10 "INTERNET" 1 1
12 2 4 10 "INTERNET" 2 1
13 2 5 10 "INTERNET" 3 1.5
14 4 7 10 "INTERNET" 3 0.75
15 3 6 10 "INTERNET" 3 1
16 6 7 10 "INTERNET" 1 0.166666666666667
17 1 2 10 "INTERNET" 1 1
18 5 5 10 "INTERNET" 0 0
19 1 2 10 "INTERNET" 1 1
20 3 5 10 "INTERNET" 2 0.666666666666667
21 2 4 10 "INTERNET" 2 1
22 5 5 10 "INTERNET" 0 0
23 6 6 10 "INTERNET" 0 0
24 4 6 10 "INTERNET" 2 0.5
25 2 5 10 "INTERNET" 3 1.5
26 4 6 10 "INTERNET" 2 0.5
27 6 5 10 "INTERNET" -1 -0.166666666666667
