"subject" "log_perc_dist" "log_target_distance" ".fitted" ".resid" ".hat" ".sigma" ".cooksd" ".std.resid" "room_condition"
101 0.336472236621213 0 0.466251830818652 -0.129779594197439 0.714338689904968 0.0310933032825815 4.7668097250234 -1.95255165273992 "Controlled environment"
101 1.09861228866811 0.693147180559945 0.914145801909134 0.184466486758976 0.240785823318 0.0753680703915077 0.459569200993648 1.70238252853887 "Controlled environment"
101 1.22377543162212 1.09861228866811 1.17614697929615 0.0476284523259642 0.166668619148615 0.140402687149855 0.017602119727314 0.419545853059013 "Controlled environment"
101 1.38629436111989 1.38629436111989 1.36203977299962 0.0242545881202749 0.204907247470639 0.142736375362336 0.00616485981256587 0.218729237070249 "Controlled environment"
101 1.43508452528932 1.6094379124341 1.50622942582431 -0.0711449005349871 0.286486529244127 0.135113542730528 0.0920875826865069 -0.677274180760122 "Controlled environment"
101 1.56861591791385 1.79175946922805 1.62404095038663 -0.0554250324727881 0.386813090913652 0.13766036587479 0.102174140758176 -0.569156041844994 "Controlled environment"
103 0.371563556432483 0 0.424712582931786 -0.0531490264993029 0.714338689904968 0.137611950208425 0.741476027888528 -0.770082369318429 "Controlled environment"
103 0.641853886172395 0.693147180559945 0.666699758274131 -0.0248458721017363 0.240785823318 0.148196655585378 0.00773242910183386 -0.220820642374007 "Controlled environment"
103 0.916290731874155 1.09861228866811 0.808253181504838 0.108037550369317 0.166668619148615 0.132530850531827 0.0839987807066589 0.916502045150749 "Controlled environment"
103 1.08180517035173 1.38629436111989 0.908686933616476 0.173118236735252 0.204907247470639 0.0983297629233886 0.291281250609073 1.50349331270689 "Controlled environment"
103 0.86288995514704 1.6094379124341 0.986589403961611 -0.123699448814572 0.286486529244127 0.122820310540473 0.258190668529072 -1.13405535648971 "Controlled environment"
103 0.970778917158225 1.79175946922805 1.05024035684718 -0.0794614396889584 0.386813090913652 0.137116284914987 0.194775099000495 -0.785828128564943 "Controlled environment"
104 0.182321556793955 0 0.336226485704726 -0.153904928910771 0.714338689904968 0.0770859964562437 4.11632807255026 -1.81444418666464 "Controlled environment"
104 1.28093384546206 0.693147180559945 1.09122744388417 0.189706401577899 0.240785823318 0.133345847026384 0.298448819831005 1.37188159130133 "Controlled environment"
104 1.6094379124341 1.09861228866811 1.53287469242768 0.0765632200064204 0.166668619148615 0.176740245806132 0.0279294473836543 0.528479467526531 "Controlled environment"
104 1.94591014905531 1.38629436111989 1.84622840206361 0.099681746991708 0.204907247470639 0.171511369766569 0.0639376410571131 0.704406800482219 "Controlled environment"
104 1.94591014905531 1.6094379124341 2.08928442216845 -0.143374273113132 0.286486529244127 0.154850324947864 0.22963913830145 -1.06951514169313 "Controlled environment"
104 2.21920348405499 1.79175946922805 2.28787565060712 -0.0686721665521248 0.386813090913652 0.176120151389382 0.0963120242514312 -0.552587566390518 "Controlled environment"
105 0.182321556793955 0 0.33139271679415 -0.149071160000196 0.714338689904968 0.100852317735721 3.59225488294779 -1.69500972803316 "Controlled environment"
105 0.78845736036427 0.693147180559945 0.617061095400022 0.171396264964248 0.240785823318 0.152328808040515 0.226612341861444 1.19542814073417 "Controlled environment"
105 0.955511445027436 1.09861228866811 0.784166384526271 0.171345060501165 0.166668619148615 0.156071237082847 0.130118814869725 1.14068832595835 "Controlled environment"
105 0.78845736036427 1.38629436111989 0.902729474005894 -0.114272113641624 0.204907247470639 0.175006994539884 0.0781593262302669 -0.778817387745685 "Controlled environment"
105 1.02961941718116 1.6094379124341 0.994694150900045 0.0349252662811135 0.286486529244127 0.188499513022456 0.0126752887218825 0.251271315537143 "Controlled environment"
105 0.955511445027436 1.79175946922805 1.06983476313214 -0.114323318104707 0.386813090913652 0.170285203884798 0.248292506289474 -0.887243159143274 "Controlled environment"
106 -0.693147180559945 0 -0.634356456611949 -0.0587907239479959 0.714338689904968 0.244726540731922 0.315545610891704 -0.502365370994345 "Controlled environment"
106 -0.22314355131421 0.693147180559945 -0.116006746038667 -0.107136805275543 0.240785823318 0.24266166622298 0.050006088037635 -0.561556083124811 "Controlled environment"
106 0.53062825106217 1.09861228866811 0.187208396906368 0.343419854155802 0.166668619148615 0.129418877871297 0.29519728925533 1.71811856243631 "Controlled environment"
106 0.470003629245736 1.38629436111989 0.402342964534616 0.0676606647111196 0.204907247470639 0.249007984771275 0.0154752420924262 0.346548450521152 "Controlled environment"
106 0.336472236621213 1.6094379124341 0.569214299344889 -0.232742062723676 0.286486529244127 0.196514809836872 0.317901672118913 -1.25837589161932 "Controlled environment"
106 0.693147180559945 1.79175946922805 0.705558107479651 -0.0124109269197057 0.386813090913652 0.252666781399413 0.00165259735303879 -0.0723843001497102 "Controlled environment"
107 0.470003629245736 0 0.785424346936463 -0.315420717690727 0.714338689904968 0.0828478161827446 4.72211394130488 -1.9433760857535 "Controlled environment"
107 1.79175946922805 0.693147180559945 1.44246119359904 0.349298275629015 0.240785823318 0.263417894705565 0.27634390103775 1.32009941200837 "Controlled environment"
107 2.07944154167984 1.09861228866811 1.82680311048872 0.252638431191113 0.166668619148615 0.312132487094305 0.0830561701763977 0.911345173889841 "Controlled environment"
107 2.19722457733622 1.38629436111989 2.09949804026162 0.0977265370746037 0.204907247470639 0.344896063687592 0.0167842312648961 0.360907546317897 "Controlled environment"
107 2.12823170584927 1.6094379124341 2.3110166605785 -0.182784954729232 0.286486529244127 0.327641348718792 0.101937845117368 -0.712576847650316 "Controlled environment"
107 2.28238238567653 1.79175946922805 2.4838399571513 -0.201457571474774 0.386813090913652 0.317639425421059 0.226379610463449 -0.847187438045061 "Controlled environment"
108 0.405465108108164 0 0.575290839755545 -0.16982573164738 0.714338689904968 0.0540517498088032 4.60180154052414 -1.91845919237469 "Controlled environment"
