"trial" "distancia" "respuesta" "nsub" "condicion"
17 5 25 7 "INTERNET"
18 6 275 7 "INTERNET"
19 4 275 7 "INTERNET"
20 1 15 7 "INTERNET"
21 2 25 7 "INTERNET"
22 6 4 7 "INTERNET"
23 3 3 7 "INTERNET"
24 5 35 7 "INTERNET"
25 1 14 7 "INTERNET"
26 4 18 7 "INTERNET"
27 5 3 7 "INTERNET"
28 6 32 7 "INTERNET"
29 3 29 7 "INTERNET"
30 2 3 7 "INTERNET"
1 5 10 8 "INTERNET"
2 3 11 8 "INTERNET"
3 1 7 8 "INTERNET"
4 4 11 8 "INTERNET"
5 6 13 8 "INTERNET"
6 2 12 8 "INTERNET"
7 4 13 8 "INTERNET"
8 6 14 8 "INTERNET"
9 5 14 8 "INTERNET"
10 1 7 8 "INTERNET"
11 3 12 8 "INTERNET"
12 2 10 8 "INTERNET"
13 6 14 8 "INTERNET"
14 3 15 8 "INTERNET"
15 1 8 8 "INTERNET"
16 4 11 8 "INTERNET"
17 2 10 8 "INTERNET"
18 5 15 8 "INTERNET"
19 4 15 8 "INTERNET"
20 1 6 8 "INTERNET"
21 3 9 8 "INTERNET"
22 2 10 8 "INTERNET"
23 5 12 8 "INTERNET"
24 6 15 8 "INTERNET"
25 1 7 8 "INTERNET"
26 5 14 8 "INTERNET"
27 3 15 8 "INTERNET"
28 2 13 8 "INTERNET"
29 4 14 8 "INTERNET"
30 6 15 8 "INTERNET"
1 3 2 9 "INTERNET"
2 2 2 9 "INTERNET"
3 6 5 9 "INTERNET"
4 5 5 9 "INTERNET"
5 4 4 9 "INTERNET"
6 1 1 9 "INTERNET"
7 6 5 9 "INTERNET"
8 4 5 9 "INTERNET"
9 1 2 9 "INTERNET"
10 3 5 9 "INTERNET"
11 2 3 9 "INTERNET"
12 5 5 9 "INTERNET"
13 1 1 9 "INTERNET"
14 4 6 9 "INTERNET"
15 2 2 9 "INTERNET"
16 3 3 9 "INTERNET"
17 5 5 9 "INTERNET"
18 6 5 9 "INTERNET"
19 1 1 9 "INTERNET"
20 5 5 9 "INTERNET"
21 2 3 9 "INTERNET"
22 4 4 9 "INTERNET"
23 6 5 9 "INTERNET"
24 3 3 9 "INTERNET"
25 2 2 9 "INTERNET"
26 1 1 9 "INTERNET"
27 6 5 9 "INTERNET"
28 3 4 9 "INTERNET"
29 5 4 9 "INTERNET"
30 4 3 9 "INTERNET"
1 1 2 10 "INTERNET"
2 4 5 10 "INTERNET"
3 6 7 10 "INTERNET"
4 2 3 10 "INTERNET"
5 5 4 10 "INTERNET"
6 3 3 10 "INTERNET"
7 5 4 10 "INTERNET"
8 6 5 10 "INTERNET"
9 4 5 10 "INTERNET"
10 3 4 10 "INTERNET"
11 1 2 10 "INTERNET"
12 2 4 10 "INTERNET"
13 2 5 10 "INTERNET"
14 4 7 10 "INTERNET"
15 3 6 10 "INTERNET"
16 6 7 10 "INTERNET"
17 1 2 10 "INTERNET"
18 5 5 10 "INTERNET"
19 1 2 10 "INTERNET"
20 3 5 10 "INTERNET"
21 2 4 10 "INTERNET"
22 5 5 10 "INTERNET"
23 6 6 10 "INTERNET"
24 4 6 10 "INTERNET"
25 2 5 10 "INTERNET"
26 4 6 10 "INTERNET"
27 6 5 10 "INTERNET"
28 3 4 10 "INTERNET"
29 1 1 10 "INTERNET"
30 5 4 10 "INTERNET"
1 3 5 11 "INTERNET"
2 6 5 11 "INTERNET"
3 1 3 11 "INTERNET"
4 5 4 11 "INTERNET"
5 2 4 11 "INTERNET"
6 4 6 11 "INTERNET"
7 1 3 11 "INTERNET"
8 2 5 11 "INTERNET"
9 3 6 11 "INTERNET"
10 5 6 11 "INTERNET"
11 6 7 11 "INTERNET"
12 4 7 11 "INTERNET"
13 5 8 11 "INTERNET"
14 6 9 11 "INTERNET"
15 2 7 11 "INTERNET"
16 3 8 11 "INTERNET"
17 1 5 11 "INTERNET"
18 4 7 11 "INTERNET"
19 3 7 11 "INTERNET"
20 6 8 11 "INTERNET"
21 1 4 11 "INTERNET"
22 2 7 11 "INTERNET"
23 4 9 11 "INTERNET"
24 5 8 11 "INTERNET"
25 6 9 11 "INTERNET"
26 3 6 11 "INTERNET"
27 4 7 11 "INTERNET"
28 2 6 11 "INTERNET"
29 1 5 11 "INTERNET"
30 5 7 11 "INTERNET"
1 4 2 12 "INTERNET"
2 2 2 12 "INTERNET"
3 1 1 12 "INTERNET"
4 6 4 12 "INTERNET"
5 3 5 12 "INTERNET"
6 5 4 12 "INTERNET"
7 5 5 12 "INTERNET"
8 6 5 12 "INTERNET"
9 4 4 12 "INTERNET"
10 3 3 12 "INTERNET"
11 2 2 12 "INTERNET"
12 1 1 12 "INTERNET"
13 2 1 12 "INTERNET"
14 5 3 12 "INTERNET"
15 3 3 12 "INTERNET"
16 6 3 12 "INTERNET"
17 4 3 12 "INTERNET"
18 1 2 12 "INTERNET"
19 5 3 12 "INTERNET"
20 6 5 12 "INTERNET"
21 1 1 12 "INTERNET"
22 3 2 12 "INTERNET"
23 2 2 12 "INTERNET"
24 4 3 12 "INTERNET"
25 2 1 12 "INTERNET"
26 4 2 12 "INTERNET"
27 6 2 12 "INTERNET"
28 5 2 12 "INTERNET"
29 3 3 12 "INTERNET"
30 1 1 12 "INTERNET"
1 3 7 13 "INTERNET"
2 6 7 13 "INTERNET"
3 4 7 13 "INTERNET"
4 5 7 13 "INTERNET"
5 1 5 13 "INTERNET"
6 2 6 13 "INTERNET"
7 4 8 13 "INTERNET"
8 2 5 13 "INTERNET"
9 1 5 13 "INTERNET"
10 6 9 13 "INTERNET"
11 3 9 13 "INTERNET"
12 5 12 13 "INTERNET"
13 3 12 13 "INTERNET"
14 2 10 13 "INTERNET"
15 1 7 13 "INTERNET"
16 6 11 13 "INTERNET"
17 4 12 13 "INTERNET"
18 5 12 13 "INTERNET"
19 2 12 13 "INTERNET"
20 4 12 13 "INTERNET"
21 6 13 13 "INTERNET"
22 5 13 13 "INTERNET"
23 3 10 13 "INTERNET"
24 1 5 13 "INTERNET"
25 3 7 13 "INTERNET"
26 6 10 13 "INTERNET"
27 2 8 13 "INTERNET"
28 5 12 13 "INTERNET"
29 1 5 13 "INTERNET"
30 4 12 13 "INTERNET"
1 5 5 14 "INTERNET"
2 4 5 14 "INTERNET"
3 3 4 14 "INTERNET"
4 1 2 14 "INTERNET"
5 6 5 14 "INTERNET"
6 2 4 14 "INTERNET"
7 1 1 14 "INTERNET"
8 6 5 14 "INTERNET"
9 3 5 14 "INTERNET"
10 2 4 14 "INTERNET"
11 4 5 14 "INTERNET"
12 5 4 14 "INTERNET"
13 3 4 14 "INTERNET"
14 4 4 14 "INTERNET"
15 1 1 14 "INTERNET"
16 5 5 14 "INTERNET"
17 6 5 14 "INTERNET"
18 2 4 14 "INTERNET"
19 5 4 14 "INTERNET"
20 1 1 14 "INTERNET"
21 4 5 14 "INTERNET"
22 3 6 14 "INTERNET"
23 6 6 14 "INTERNET"
24 2 4 14 "INTERNET"
25 6 5 14 "INTERNET"
26 5 5 14 "INTERNET"
27 4 5 14 "INTERNET"
28 3 5 14 "INTERNET"
29 1 1 14 "INTERNET"
30 2 3 14 "INTERNET"
1 4 7 15 "INTERNET"
2 2 7 15 "INTERNET"
3 6 6 15 "INTERNET"
4 5 6 15 "INTERNET"
5 1 4 15 "INTERNET"
6 3 5 15 "INTERNET"
7 3 6 15 "INTERNET"
8 1 4 15 "INTERNET"
9 6 7 15 "INTERNET"
10 4 6 15 "INTERNET"
11 5 7 15 "INTERNET"
12 2 5 15 "INTERNET"
13 2 4.5 15 "INTERNET"
14 1 3 15 "INTERNET"
15 5 6 15 "INTERNET"
16 3 77 15 "INTERNET"
17 4 6 15 "INTERNET"
18 6 7 15 "INTERNET"
19 3 6 15 "INTERNET"
20 1 3 15 "INTERNET"
21 5 5 15 "INTERNET"
22 6 7 15 "INTERNET"
23 4 6 15 "INTERNET"
24 2 5 15 "INTERNET"
25 3 6 15 "INTERNET"
26 4 6 15 "INTERNET"
27 6 7 15 "INTERNET"
28 5 6 15 "INTERNET"
29 1 3 15 "INTERNET"
30 2 5 15 "INTERNET"
1 5 6 16 "INTERNET"
2 6 6 16 "INTERNET"
3 2 4 16 "INTERNET"
4 3 5 16 "INTERNET"
5 1 4 16 "INTERNET"
6 4 7 16 "INTERNET"
7 3 8 16 "INTERNET"
8 5 6 16 "INTERNET"
9 6 8 16 "INTERNET"
10 1 3 16 "INTERNET"
11 4 6 16 "INTERNET"
12 2 4 16 "INTERNET"
13 2 3 16 "INTERNET"
14 1 2 16 "INTERNET"
15 3 7 16 "INTERNET"
16 4 7 16 "INTERNET"
17 5 8 16 "INTERNET"
18 6 9 16 "INTERNET"
19 5 9 16 "INTERNET"
20 2 5 16 "INTERNET"
21 6 6 16 "INTERNET"
22 4 5 16 "INTERNET"
23 1 2 16 "INTERNET"
24 3 5 16 "INTERNET"
25 4 6 16 "INTERNET"
26 1 2 16 "INTERNET"
27 5 7 16 "INTERNET"
28 6 8 16 "INTERNET"
29 2 5 16 "INTERNET"
30 3 6 16 "INTERNET"
1 2 4 17 "INTERNET"
2 4 35 17 "INTERNET"
3 3 35 17 "INTERNET"
4 6 45 17 "INTERNET"
5 5 5 17 "INTERNET"
6 1 2 17 "INTERNET"
7 6 45 17 "INTERNET"
8 2 35 17 "INTERNET"
9 4 35 17 "INTERNET"
10 3 4 17 "INTERNET"
11 5 3 17 "INTERNET"
12 1 15 17 "INTERNET"
13 6 4 17 "INTERNET"
14 3 35 17 "INTERNET"
15 2 25 17 "INTERNET"
16 5 4 17 "INTERNET"
17 1 15 17 "INTERNET"
18 4 45 17 "INTERNET"
19 1 1 17 "INTERNET"
20 2 3 17 "INTERNET"
21 3 4 17 "INTERNET"
22 4 45 17 "INTERNET"
23 5 4 17 "INTERNET"
24 6 5 17 "INTERNET"
25 2 35 17 "INTERNET"
26 1 15 17 "INTERNET"
27 4 4 17 "INTERNET"
28 3 35 17 "INTERNET"
29 6 45 17 "INTERNET"
30 5 4 17 "INTERNET"
1 4 4 18 "INTERNET"
2 2 3 18 "INTERNET"
3 3 3 18 "INTERNET"
4 5 4 18 "INTERNET"
5 1 2 18 "INTERNET"
6 6 5 18 "INTERNET"
7 3 4 18 "INTERNET"
8 5 5 18 "INTERNET"
9 6 6 18 "INTERNET"
10 1 1 18 "INTERNET"
11 2 3 18 "INTERNET"
12 4 4 18 "INTERNET"
13 2 3 18 "INTERNET"
14 5 4 18 "INTERNET"
15 1 1 18 "INTERNET"
16 3 4 18 "INTERNET"
17 4 5 18 "INTERNET"
18 6 6 18 "INTERNET"
19 1 3 18 "INTERNET"
20 3 5 18 "INTERNET"
21 5 6 18 "INTERNET"
22 2 3 18 "INTERNET"
23 4 5 18 "INTERNET"
24 6 6 18 "INTERNET"
25 2 4 18 "INTERNET"
26 6 5 18 "INTERNET"
27 5 5 18 "INTERNET"
28 3 4 18 "INTERNET"
29 1 2 18 "INTERNET"
30 4 4 18 "INTERNET"
1 6 10 19 "INTERNET"
2 4 8 19 "INTERNET"
3 5 7 19 "INTERNET"
4 3 7 19 "INTERNET"
5 2 6 19 "INTERNET"
6 1 5 19 "INTERNET"
7 5 10 19 "INTERNET"
8 3 9 19 "INTERNET"
9 4 10 19 "INTERNET"
10 2 8 19 "INTERNET"
11 1 6 19 "INTERNET"
12 6 12 19 "INTERNET"
13 5 11 19 "INTERNET"
14 3 10 19 "INTERNET"
15 2 9 19 "INTERNET"
16 4 10 19 "INTERNET"
17 6 11 19 "INTERNET"
18 1 6 19 "INTERNET"
19 3 10 19 "INTERNET"
20 5 11 19 "INTERNET"
21 2 8 19 "INTERNET"
22 1 6 19 "INTERNET"
23 6 12 19 "INTERNET"
24 4 10 19 "INTERNET"
25 1 7 19 "INTERNET"
26 3 9 19 "INTERNET"
27 2 8 19 "INTERNET"
28 5 11 19 "INTERNET"
29 6 12 19 "INTERNET"
30 4 11 19 "INTERNET"
1 5 2 20 "INTERNET"
2 6 3 20 "INTERNET"
3 4 3.5 20 "INTERNET"
4 1 1.5 20 "INTERNET"
5 3 2.5 20 "INTERNET"
6 2 2 20 "INTERNET"
7 2 2.5 20 "INTERNET"
8 6 3.5 20 "INTERNET"
9 1 1.5 20 "INTERNET"
10 5 3 20 "INTERNET"
11 4 3.5 20 "INTERNET"
12 3 3 20 "INTERNET"
13 3 3 20 "INTERNET"
14 5 3.5 20 "INTERNET"
15 2 2.5 20 "INTERNET"
16 6 3.5 20 "INTERNET"
17 1 1.5 20 "INTERNET"
18 4 3 20 "INTERNET"
19 3 3.5 20 "INTERNET"
20 5 3.5 20 "INTERNET"
21 4 3.5 20 "INTERNET"
22 1 1.5 20 "INTERNET"
23 6 4 20 "INTERNET"
24 2 2 20 "INTERNET"
25 1 1.5 20 "INTERNET"
26 4 3.5 20 "INTERNET"
27 5 3.5 20 "INTERNET"
28 2 3 20 "INTERNET"
29 6 4 20 "INTERNET"
30 3 3 20 "INTERNET"
1 1 0.5 21 "INTERNET"
2 2 1 21 "INTERNET"
3 6 2 21 "INTERNET"
4 3 1.5 21 "INTERNET"
5 5 2 21 "INTERNET"
6 4 2 21 "INTERNET"
7 5 2 21 "INTERNET"
8 6 2.5 21 "INTERNET"
9 3 1.5 21 "INTERNET"
10 2 1 21 "INTERNET"
11 1 1 21 "INTERNET"
12 4 1.5 21 "INTERNET"
13 1 0.5 21 "INTERNET"
14 6 2 21 "INTERNET"
15 4 2 21 "INTERNET"
16 2 2 21 "INTERNET"
17 3 1.5 21 "INTERNET"
