"trial" "distancia" "respuesta" "nsub" "condicion"
19 4 12.3 29 "INTERNET"
20 3 8.5 29 "INTERNET"
21 2 7.5 29 "INTERNET"
22 6 20 29 "INTERNET"
23 5 12 29 "INTERNET"
24 1 4.6 29 "INTERNET"
25 2 9 29 "INTERNET"
26 3 9.7 29 "INTERNET"
27 4 8.9 29 "INTERNET"
28 1 3.5 29 "INTERNET"
29 5 10 29 "INTERNET"
30 6 14 29 "INTERNET"
1 3 2 30 "INTERNET"
2 4 1.5 30 "INTERNET"
3 1 0.5 30 "INTERNET"
4 6 2 30 "INTERNET"
5 2 0.5 30 "INTERNET"
6 5 0.5 30 "INTERNET"
7 4 1.5 30 "INTERNET"
8 1 0.25 30 "INTERNET"
9 5 2 30 "INTERNET"
10 6 4 30 "INTERNET"
11 2 3 30 "INTERNET"
12 3 3 30 "INTERNET"
13 2 4.5 30 "INTERNET"
14 5 3.5 30 "INTERNET"
15 3 4.5 30 "INTERNET"
16 6 3 30 "INTERNET"
17 1 1 30 "INTERNET"
18 4 6 30 "INTERNET"
19 6 7 30 "INTERNET"
20 1 0.5 30 "INTERNET"
21 3 2 30 "INTERNET"
22 4 4 30 "INTERNET"
23 2 3 30 "INTERNET"
24 5 6 30 "INTERNET"
25 3 5 30 "INTERNET"
26 4 5.5 30 "INTERNET"
27 2 3.5 30 "INTERNET"
28 6 4.5 30 "INTERNET"
29 5 2 30 "INTERNET"
30 1 0.75 30 "INTERNET"
1 3 7 31 "INTERNET"
2 6 8 31 "INTERNET"
3 1 3 31 "INTERNET"
4 2 6 31 "INTERNET"
5 5 8 31 "INTERNET"
6 4 7 31 "INTERNET"
7 1 3 31 "INTERNET"
8 3 5 31 "INTERNET"
9 4 7 31 "INTERNET"
10 2 5 31 "INTERNET"
11 5 8 31 "INTERNET"
12 6 10 31 "INTERNET"
13 2 3 31 "INTERNET"
14 6 4 31 "INTERNET"
15 4 5 31 "INTERNET"
16 3 3 31 "INTERNET"
17 5 6 31 "INTERNET"
18 1 2 31 "INTERNET"
19 1 2 31 "INTERNET"
20 6 6 31 "INTERNET"
21 2 3 31 "INTERNET"
22 3 4 31 "INTERNET"
23 4 5 31 "INTERNET"
24 5 4 31 "INTERNET"
25 1 2 31 "INTERNET"
26 6 8 31 "INTERNET"
27 2 7 31 "INTERNET"
28 4 6 31 "INTERNET"
29 5 6 31 "INTERNET"
30 3 6 31 "INTERNET"
1 5 2 32 "INTERNET"
2 3 2 32 "INTERNET"
3 2 2 32 "INTERNET"
4 6 2 32 "INTERNET"
5 4 2 32 "INTERNET"
6 1 2 32 "INTERNET"
7 5 2 32 "INTERNET"
8 6 2 32 "INTERNET"
9 3 2 32 "INTERNET"
10 1 2 32 "INTERNET"
11 4 2 32 "INTERNET"
12 2 2 32 "INTERNET"
13 3 1.5 32 "INTERNET"
14 4 1.5 32 "INTERNET"
15 6 1.5 32 "INTERNET"
16 5 1.3 32 "INTERNET"
17 2 1 32 "INTERNET"
18 1 1 32 "INTERNET"
19 4 0.3 32 "INTERNET"
20 6 1.3 32 "INTERNET"
21 2 1 32 "INTERNET"
22 3 0.5 32 "INTERNET"
23 5 1 32 "INTERNET"
24 1 1 32 "INTERNET"
25 3 1 32 "INTERNET"
26 2 1 32 "INTERNET"
27 6 1 32 "INTERNET"
28 5 1 32 "INTERNET"
29 4 1 32 "INTERNET"
30 1 0.8 32 "INTERNET"
1 6 4 33 "INTERNET"
2 4 4 33 "INTERNET"
3 1 0.5 33 "INTERNET"
4 5 3 33 "INTERNET"
5 3 3 33 "INTERNET"
6 2 2.5 33 "INTERNET"
7 4 3 33 "INTERNET"
8 2 3.5 33 "INTERNET"
9 5 6 33 "INTERNET"
10 1 1 33 "INTERNET"
11 3 3 33 "INTERNET"
12 6 7 33 "INTERNET"
13 2 5 33 "INTERNET"
14 4 7.5 33 "INTERNET"
15 5 7 33 "INTERNET"
16 3 7.5 33 "INTERNET"
17 6 8 33 "INTERNET"
18 1 1 33 "INTERNET"
19 5 7 33 "INTERNET"
20 3 8.5 33 "INTERNET"
21 6 9 33 "INTERNET"
22 4 8.5 33 "INTERNET"
23 1 1 33 "INTERNET"
24 2 4 33 "INTERNET"
25 2 4 33 "INTERNET"
26 5 6 33 "INTERNET"
27 6 7 33 "INTERNET"
28 3 6.5 33 "INTERNET"
29 4 5 33 "INTERNET"
30 1 1 33 "INTERNET"
1 3 3 34 "INTERNET"
2 6 2 34 "INTERNET"
3 5 1 34 "INTERNET"
4 4 0 34 "INTERNET"
5 1 0 34 "INTERNET"
6 2 3 34 "INTERNET"
7 4 5 34 "INTERNET"
8 2 3 34 "INTERNET"
9 6 6 34 "INTERNET"
10 5 5 34 "INTERNET"
11 1 1 34 "INTERNET"
12 3 7 34 "INTERNET"
13 4 9 34 "INTERNET"
14 2 4 34 "INTERNET"
15 5 6 34 "INTERNET"
16 1 1 34 "INTERNET"
17 3 33 34 "INTERNET"
18 6 6 34 "INTERNET"
19 4 3 34 "INTERNET"
20 6 4 34 "INTERNET"
21 5 2 34 "INTERNET"
22 2 1 34 "INTERNET"
23 3 3 34 "INTERNET"
24 1 0 34 "INTERNET"
25 3 5 34 "INTERNET"
26 2 3 34 "INTERNET"
27 1 1 34 "INTERNET"
28 4 5 34 "INTERNET"
29 6 9 34 "INTERNET"
30 5 8 34 "INTERNET"
1 2 1 35 "INTERNET"
2 5 3 35 "INTERNET"
3 3 2.7 35 "INTERNET"
4 6 5 35 "INTERNET"
5 4 4 35 "INTERNET"
6 1 0.5 35 "INTERNET"
7 1 1 35 "INTERNET"
8 4 6 35 "INTERNET"
9 6 7 35 "INTERNET"
10 3 3 35 "INTERNET"
11 2 2 35 "INTERNET"
12 5 2 35 "INTERNET"
13 4 3 35 "INTERNET"
14 2 2 35 "INTERNET"
15 1 0.5 35 "INTERNET"
16 6 4 35 "INTERNET"
17 3 3 35 "INTERNET"
18 5 5 35 "INTERNET"
19 4 3 35 "INTERNET"
20 6 6 35 "INTERNET"
21 5 5 35 "INTERNET"
22 2 2 35 "INTERNET"
23 3 5 35 "INTERNET"
24 1 1 35 "INTERNET"
25 1 1 35 "INTERNET"
26 2 0.5 35 "INTERNET"
27 6 5 35 "INTERNET"
28 4 4 35 "INTERNET"
29 3 3 35 "INTERNET"
30 5 3 35 "INTERNET"
1 1 2 36 "INTERNET"
2 6 4 36 "INTERNET"
3 3 3 36 "INTERNET"
4 5 3.5 36 "INTERNET"
5 4 4 36 "INTERNET"
6 2 2 36 "INTERNET"
7 3 2 36 "INTERNET"
8 5 2 36 "INTERNET"
9 6 3 36 "INTERNET"
10 1 1 36 "INTERNET"
11 4 3 36 "INTERNET"
12 2 2 36 "INTERNET"
13 2 1.8 36 "INTERNET"
14 6 3 36 "INTERNET"
15 1 1 36 "INTERNET"
16 4 3 36 "INTERNET"
17 3 2.8 36 "INTERNET"
18 5 3 36 "INTERNET"
19 1 1 36 "INTERNET"
20 5 3 36 "INTERNET"
21 6 4 36 "INTERNET"
22 4 3.8 36 "INTERNET"
23 3 3.8 36 "INTERNET"
24 2 3 36 "INTERNET"
25 3 3.5 36 "INTERNET"
26 6 4 36 "INTERNET"
27 1 1 36 "INTERNET"
28 4 4 36 "INTERNET"
29 5 4.5 36 "INTERNET"
30 2 2.8 36 "INTERNET"
1 6 15 37 "INTERNET"
2 5 15 37 "INTERNET"
3 2 12 37 "INTERNET"
4 3 18 37 "INTERNET"
5 1 10 37 "INTERNET"
6 4 15 37 "INTERNET"
7 4 17 37 "INTERNET"
8 1 12 37 "INTERNET"
9 3 20 37 "INTERNET"
10 6 22 37 "INTERNET"
11 2 18 37 "INTERNET"
12 5 21 37 "INTERNET"
13 2 12 37 "INTERNET"
14 3 15 37 "INTERNET"
15 1 8 37 "INTERNET"
16 4 14 37 "INTERNET"
17 5 15 37 "INTERNET"
18 6 20 37 "INTERNET"
19 1 6 37 "INTERNET"
20 2 11 37 "INTERNET"
21 6 22 37 "INTERNET"
22 3 22 37 "INTERNET"
23 5 22 37 "INTERNET"
24 4 22 37 "INTERNET"
25 2 21 37 "INTERNET"
26 4 22 37 "INTERNET"
27 1 18 37 "INTERNET"
28 6 25 37 "INTERNET"
29 5 23 37 "INTERNET"
30 3 23 37 "INTERNET"
1 5 4 101 "SALA"
2 3 3 101 "SALA"
3 6 4 101 "SALA"
4 1 2 101 "SALA"
5 2 4 101 "SALA"
6 4 5 101 "SALA"
7 3 4 101 "SALA"
8 6 5 101 "SALA"
9 5 4 101 "SALA"
10 1 1 101 "SALA"
11 2 3 101 "SALA"
12 4 4 101 "SALA"
13 4 3 101 "SALA"
14 2 2 101 "SALA"
15 6 5 101 "SALA"
16 5 4 101 "SALA"
17 3 3 101 "SALA"
18 1 1 101 "SALA"
19 2 3 101 "SALA"
20 6 5 101 "SALA"
21 4 4 101 "SALA"
22 1 2 101 "SALA"
23 3 4 101 "SALA"
24 5 4 101 "SALA"
25 4 4 101 "SALA"
26 3 3 101 "SALA"
27 1 1 101 "SALA"
28 6 5 101 "SALA"
29 5 5 101 "SALA"
30 2 3 101 "SALA"
1 1 1 102 "SALA"
2 3 15 102 "SALA"
3 4 20 102 "SALA"
4 5 25 102 "SALA"
5 2 20 102 "SALA"
6 6 30 102 "SALA"
7 4 35 102 "SALA"
8 3 25 102 "SALA"
9 1 10 102 "SALA"
10 6 40 102 "SALA"
11 5 35 102 "SALA"
12 2 15 102 "SALA"
13 1 10 102 "SALA"
14 4 30 102 "SALA"
15 6 35 102 "SALA"
16 3 30 102 "SALA"
17 5 40 102 "SALA"
18 2 30 102 "SALA"
19 4 45 102 "SALA"
20 1 10 102 "SALA"
21 5 45 102 "SALA"
22 6 30 102 "SALA"
23 3 20 102 "SALA"
24 2 20 102 "SALA"
25 3 30 102 "SALA"
26 5 35 102 "SALA"
27 4 40 102 "SALA"
28 2 15 102 "SALA"
29 6 5 102 "SALA"
30 1 10 102 "SALA"
1 2 1.75 103 "SALA"
2 1 1 103 "SALA"
3 6 2.5 103 "SALA"
4 3 2 103 "SALA"
5 5 3 103 "SALA"
6 4 3.5 103 "SALA"
7 4 3.5 103 "SALA"
8 3 3.5 103 "SALA"
9 6 2 103 "SALA"
10 2 1.75 103 "SALA"
11 1 1.5 103 "SALA"
12 5 2 103 "SALA"
13 5 2.1 103 "SALA"
14 2 2 103 "SALA"
15 3 2 103 "SALA"
16 4 2.5 103 "SALA"
17 1 1.5 103 "SALA"
18 6 2.7 103 "SALA"
19 1 1.5 103 "SALA"
20 6 3 103 "SALA"
21 4 3.25 103 "SALA"
22 5 2.5 103 "SALA"
23 3 2.75 103 "SALA"
24 2 2 103 "SALA"
25 6 3 103 "SALA"
26 2 2 103 "SALA"
27 5 2.25 103 "SALA"
28 1 1.75 103 "SALA"
29 4 2 103 "SALA"
30 3 2.25 103 "SALA"
1 3 4 104 "SALA"
2 1 2 104 "SALA"
3 5 6 104 "SALA"
4 2 3 104 "SALA"
5 4 9 104 "SALA"
6 6 10 104 "SALA"
7 2 4 104 "SALA"
8 4 6 104 "SALA"
9 5 7 104 "SALA"
10 3 5 104 "SALA"
11 6 10 104 "SALA"
12 1 1 104 "SALA"
13 2 4 104 "SALA"
14 5 8 104 "SALA"
15 1 1 104 "SALA"
16 3 6 104 "SALA"
17 4 8 104 "SALA"
18 6 10 104 "SALA"
19 4 6 104 "SALA"
20 2 4 104 "SALA"
21 3 4 104 "SALA"
22 5 6 104 "SALA"
23 6 10 104 "SALA"
24 1 1 104 "SALA"
25 4 6 104 "SALA"
26 2 3 104 "SALA"
27 3 6 104 "SALA"
28 5 8 104 "SALA"
29 6 6 104 "SALA"
30 1 1 104 "SALA"
1 6 2 105 "SALA"
2 4 2 105 "SALA"
3 1 1 105 "SALA"
4 2 2 105 "SALA"
5 3 3 105 "SALA"
6 5 3 105 "SALA"
7 1 2 105 "SALA"
8 2 2 105 "SALA"
9 4 2 105 "SALA"
10 3 2 105 "SALA"
11 6 3 105 "SALA"
12 5 3 105 "SALA"
13 6 2 105 "SALA"
14 5 2 105 "SALA"
15 3 3 105 "SALA"
16 1 1 105 "SALA"
17 2 2 105 "SALA"
18 4 3 105 "SALA"
19 3 2 105 "SALA"
20 6 3 105 "SALA"
21 1 1 105 "SALA"
22 5 3 105 "SALA"
23 4 2 105 "SALA"
24 2 3 105 "SALA"
25 3 3 105 "SALA"
26 2 2 105 "SALA"
27 1 1 105 "SALA"
28 4 2 105 "SALA"
29 5 3 105 "SALA"
30 6 3 105 "SALA"
1 5 1 106 "SALA"
2 2 0.5 106 "SALA"
3 4 1 106 "SALA"
4 1 0.5 106 "SALA"
5 3 2 106 "SALA"
6 6 2 106 "SALA"
7 2 1 106 "SALA"
8 1 0.5 106 "SALA"
9 6 2 106 "SALA"
10 5 2 106 "SALA"
11 3 2 106 "SALA"
12 4 2 106 "SALA"
13 3 2.5 106 "SALA"
14 5 2 106 "SALA"
15 6 2 106 "SALA"
16 4 2 106 "SALA"
17 2 1 106 "SALA"
18 1 0.5 106 "SALA"
19 2 0.5 106 "SALA"
20 5 1 106 "SALA"
21 1 0.5 106 "SALA"
22 3 1 106 "SALA"
23 6 2 106 "SALA"
24 4 2 106 "SALA"
25 6 2 106 "SALA"
26 4 1 106 "SALA"
27 3 1 106 "SALA"
28 2 1 106 "SALA"
29 5 1 106 "SALA"
30 1 0.5 106 "SALA"
1 6 10 107 "SALA"
2 5 11 107 "SALA"
3 2 6 107 "SALA"
4 1 3 107 "SALA"
5 3 6 107 "SALA"
6 4 10 107 "SALA"
7 3 10 107 "SALA"
8 1 2 107 "SALA"
9 5 12 107 "SALA"
10 4 12 107 "SALA"
11 2 10 107 "SALA"
12 6 14 107 "SALA"
13 3 12 107 "SALA"
14 1 1 107 "SALA"
15 5 6 107 "SALA"
16 2 5 107 "SALA"
17 6 8 107 "SALA"
18 4 8 107 "SALA"
19 1 1 107 "SALA"
20 6 9 107 "SALA"
21 2 4 107 "SALA"
22 3 5 107 "SALA"
23 5 6 107 "SALA"
24 4 7 107 "SALA"
25 1 1 107 "SALA"
26 5 7 107 "SALA"
27 6 8 107 "SALA"
28 4 8 107 "SALA"
29 3 7 107 "SALA"
30 2 5 107 "SALA"
1 1 3 108 "SALA"
2 2 4 108 "SALA"
3 5 6 108 "SALA"
4 4 7 108 "SALA"
5 6 7 108 "SALA"
6 3 5 108 "SALA"
7 2 3 108 "SALA"
8 5 5 108 "SALA"
9 4 6 108 "SALA"
10 6 7 108 "SALA"
11 1 1 108 "SALA"
12 3 4 108 "SALA"
13 1 0.5 108 "SALA"
14 4 6 108 "SALA"
15 2 3 108 "SALA"
16 5 6 108 "SALA"
17 3 5 108 "SALA"
18 6 7 108 "SALA"
19 5 6 108 "SALA"
20 2 4 108 "SALA"
21 4 5 108 "SALA"
22 6 6 108 "SALA"
23 1 1 108 "SALA"
24 3 5 108 "SALA"
25 1 2 108 "SALA"
26 5 7 108 "SALA"
27 4 6 108 "SALA"
28 6 8 108 "SALA"
29 2 5 108 "SALA"
30 3 6 108 "SALA"
1 6 6 109 "SALA"
2 5 6 109 "SALA"
3 4 7 109 "SALA"
4 2 4 109 "SALA"
5 3 6 109 "SALA"
6 1 2 109 "SALA"
7 4 8 109 "SALA"
8 2 3 109 "SALA"
9 3 4 109 "SALA"
10 6 8 109 "SALA"
11 1 0 109 "SALA"
12 5 6 109 "SALA"
13 3 6 109 "SALA"
14 1 0 109 "SALA"
15 2 7 109 "SALA"
16 5 9 109 "SALA"
17 4 10 109 "SALA"
18 6 11 109 "SALA"
19 5 9 109 "SALA"
20 4 10 109 "SALA"
21 3 7 109 "SALA"
22 1 0 109 "SALA"
23 2 4 109 "SALA"
24 6 10 109 "SALA"
25 4 7 109 "SALA"
26 2 3 109 "SALA"
27 3 10 109 "SALA"
28 5 11 109 "SALA"
29 6 12 109 "SALA"
30 1 0 109 "SALA"
1 2 2 110 "SALA"
2 1 1 110 "SALA"
3 6 5 110 "SALA"
4 5 4 110 "SALA"
5 4 4 110 "SALA"
6 3 3 110 "SALA"
7 6 4.5 110 "SALA"
8 4 3 110 "SALA"
9 2 2 110 "SALA"
10 5 3 110 "SALA"
11 1 0.5 110 "SALA"
12 3 2 110 "SALA"
13 1 0.5 110 "SALA"
14 5 3 110 "SALA"
15 6 5 110 "SALA"
16 2 2 110 "SALA"
17 3 4 110 "SALA"
18 4 3 110 "SALA"
19 6 5 110 "SALA"
20 4 4 110 "SALA"
21 1 0.5 110 "SALA"
22 5 6 110 "SALA"
23 3 4 110 "SALA"
24 2 3 110 "SALA"
25 4 5 110 "SALA"
26 5 4 110 "SALA"
27 3 3 110 "SALA"
28 2 2 110 "SALA"
29 1 1 110 "SALA"
30 6 10 110 "SALA"
1 1 3 111 "SALA"
2 5 6 111 "SALA"
3 4 5 111 "SALA"
4 2 2 111 "SALA"
5 6 4 111 "SALA"
6 3 3 111 "SALA"
7 3 5 111 "SALA"
8 4 6 111 "SALA"
9 5 8 111 "SALA"
10 6 9 111 "SALA"
11 1 3 111 "SALA"
12 2 5 111 "SALA"
13 3 6 111 "SALA"
14 6 7 111 "SALA"
15 2 6 111 "SALA"
16 1 1 111 "SALA"
17 5 4 111 "SALA"
18 4 5 111 "SALA"
19 2 1 111 "SALA"
20 5 3 111 "SALA"
21 3 5 111 "SALA"
22 1 1 111 "SALA"
23 6 5 111 "SALA"
24 4 7 111 "SALA"
25 4 10 111 "SALA"
26 6 10 111 "SALA"
27 3 6 111 "SALA"
28 1 2 111 "SALA"
29 5 4 111 "SALA"
30 2 3 111 "SALA"
1 4 3 112 "SALA"
2 2 1.5 112 "SALA"
3 5 4 112 "SALA"
4 1 1 112 "SALA"
5 3 3.5 112 "SALA"
6 6 5 112 "SALA"
7 4 6 112 "SALA"
8 5 6.5 112 "SALA"
9 6 6.5 112 "SALA"
10 3 5 112 "SALA"
11 1 1 112 "SALA"
12 2 3 112 "SALA"
13 4 4 112 "SALA"
14 3 4.5 112 "SALA"
15 1 0.5 112 "SALA"
16 6 6 112 "SALA"
17 2 6 112 "SALA"
18 5 7 112 "SALA"
19 1 1 112 "SALA"
20 4 4 112 "SALA"
21 2 5 112 "SALA"
22 6 6 112 "SALA"
23 5 6 112 "SALA"
24 3 5.5 112 "SALA"
25 1 1 112 "SALA"
26 6 4.5 112 "SALA"
27 5 4.5 112 "SALA"
28 4 5 112 "SALA"
29 3 5 112 "SALA"
30 2 3 112 "SALA"
1 4 3 113 "SALA"
2 3 3.5 113 "SALA"
3 1 1.5 113 "SALA"
4 6 4 113 "SALA"
5 5 4 113 "SALA"
6 2 3 113 "SALA"
7 1 2 113 "SALA"
8 2 3 113 "SALA"
9 6 4.5 113 "SALA"
10 5 4.5 113 "SALA"
11 4 4.5 113 "SALA"
12 3 4 113 "SALA"
13 6 5 113 "SALA"
14 3 3.5 113 "SALA"
15 1 2 113 "SALA"
16 2 3 113 "SALA"
17 5 5 113 "SALA"
18 4 4.5 113 "SALA"
19 3 3.5 113 "SALA"
20 5 4 113 "SALA"
21 6 5 113 "SALA"
22 2 2.5 113 "SALA"
23 1 1 113 "SALA"
24 4 3 113 "SALA"
25 4 4.5 113 "SALA"
26 3 4 113 "SALA"
27 6 4.5 113 "SALA"
28 1 2.5 113 "SALA"
29 2 3.5 113 "SALA"
30 5 5 113 "SALA"
1 2 2 114 "SALA"
2 6 4 114 "SALA"
3 4 3 114 "SALA"
4 5 3.4 114 "SALA"
5 3 205 114 "SALA"
6 1 1.5 114 "SALA"
7 2 4 114 "SALA"
8 3 6 114 "SALA"
9 4 5.5 114 "SALA"
10 1 2 114 "SALA"
11 6 8 114 "SALA"
12 5 8 114 "SALA"
13 1 3 114 "SALA"
14 6 9 114 "SALA"
15 4 7 114 "SALA"
16 5 6 114 "SALA"
17 2 4 114 "SALA"
18 3 3.5 114 "SALA"
19 1 2 114 "SALA"
20 6 10 114 "SALA"
21 2 8 114 "SALA"
22 5 12 114 "SALA"
23 4 9 114 "SALA"
24 3 6 114 "SALA"
25 5 7 114 "SALA"
26 3 4 114 "SALA"
27 1 2 114 "SALA"
28 2 4 114 "SALA"
29 4 7 114 "SALA"
30 6 9 114 "SALA"
1 4 6 115 "SALA"
2 3 6 115 "SALA"
3 2 4 115 "SALA"
4 5 7 115 "SALA"
5 1 1 115 "SALA"
6 6 9 115 "SALA"
7 4 9 115 "SALA"
8 1 2 115 "SALA"
9 2 5 115 "SALA"
10 3 8 115 "SALA"
11 6 10 115 "SALA"
12 5 10 115 "SALA"
13 2 5 115 "SALA"
14 5 9 115 "SALA"
15 1 2 115 "SALA"
16 6 9 115 "SALA"
17 4 7 115 "SALA"
18 3 6 115 "SALA"
19 2 5 115 "SALA"
20 4 7 115 "SALA"
21 1 2 115 "SALA"
22 3 5 115 "SALA"
23 6 9 115 "SALA"
24 5 6 115 "SALA"
25 2 3 115 "SALA"
26 3 7 115 "SALA"
27 1 3 115 "SALA"
28 4 9 115 "SALA"
29 6 10 115 "SALA"
30 5 7 115 "SALA"
1 6 5 116 "SALA"
2 1 2 116 "SALA"
3 5 4 116 "SALA"
4 4 4 116 "SALA"
5 2 3 116 "SALA"
6 3 4 116 "SALA"
7 4 5 116 "SALA"
8 5 6 116 "SALA"
9 6 7 116 "SALA"
10 1 1 116 "SALA"
11 3 3 116 "SALA"
12 2 4 116 "SALA"
13 6 7 116 "SALA"
14 3 3 116 "SALA"
15 4 4 116 "SALA"
16 2 2 116 "SALA"
17 1 1 116 "SALA"
18 5 4 116 "SALA"
19 2 3 116 "SALA"
20 5 5 116 "SALA"
21 6 7 116 "SALA"
22 4 5 116 "SALA"
23 3 4 116 "SALA"
24 1 2 116 "SALA"
25 2 3 116 "SALA"
26 3 4 116 "SALA"
27 5 5 116 "SALA"
28 6 6 116 "SALA"
29 4 5 116 "SALA"
30 1 1 116 "SALA"
1 1 1 117 "SALA"
2 3 2 117 "SALA"
3 4 3 117 "SALA"
4 6 4 117 "SALA"
5 2 4 117 "SALA"
6 5 4 117 "SALA"
7 3 3 117 "SALA"
8 1 3 117 "SALA"
9 2 3 117 "SALA"
10 4 2 117 "SALA"
11 6 3 117 "SALA"
12 5 2 117 "SALA"
13 4 3 117 "SALA"
14 1 1 117 "SALA"
15 5 4 117 "SALA"
16 2 4 117 "SALA"
17 6 5 117 "SALA"
18 3 3 117 "SALA"
19 6 4 117 "SALA"
20 5 3 117 "SALA"
21 4 3 117 "SALA"
22 2 3 117 "SALA"
23 1 1 117 "SALA"
24 3 2 117 "SALA"
25 3 1 117 "SALA"
26 6 5 117 "SALA"
27 2 4 117 "SALA"
28 1 2 117 "SALA"
29 5 3 117 "SALA"
30 4 2 117 "SALA"
1 5 8 118 "SALA"
2 4 8 118 "SALA"
3 3 7 118 "SALA"
4 1 3 118 "SALA"
5 6 10 118 "SALA"
6 2 4 118 "SALA"
7 4 8 118 "SALA"
8 6 7 118 "SALA"
9 3 6 118 "SALA"
10 5 7 118 "SALA"
11 2 5 118 "SALA"
12 1 2 118 "SALA"
13 1 2 118 "SALA"
14 3 4 118 "SALA"
15 5 7 118 "SALA"
16 4 8 118 "SALA"
17 6 9 118 "SALA"
18 2 4 118 "SALA"
19 2 3 118 "SALA"
20 4 5 118 "SALA"
21 6 7 118 "SALA"
22 1 2 118 "SALA"
23 5 8 118 "SALA"
24 3 7 118 "SALA"
25 1 2 118 "SALA"
26 2 3 118 "SALA"
27 5 9 118 "SALA"
28 6 10 118 "SALA"
29 4 9 118 "SALA"
30 3 7 118 "SALA"
1 6 4 119 "SALA"
2 2 1.2 119 "SALA"
3 3 1.3 119 "SALA"
4 1 0.8 119 "SALA"
5 5 4.5 119 "SALA"
6 4 3.5 119 "SALA"
7 2 2 119 "SALA"
8 3 2 119 "SALA"
9 4 2.5 119 "SALA"
10 6 2.3 119 "SALA"
11 1 7 119 "SALA"
12 5 3 119 "SALA"
13 3 2 119 "SALA"
14 2 1.3 119 "SALA"
15 6 3 119 "SALA"
16 1 0.5 119 "SALA"
17 5 4 119 "SALA"
18 4 4.5 119 "SALA"
19 2 2.5 119 "SALA"
20 5 4 119 "SALA"
21 4 3.8 119 "SALA"
22 6 5 119 "SALA"
23 1 0.4 119 "SALA"
24 3 4 119 "SALA"
25 2 3 119 "SALA"
26 4 4 119 "SALA"
27 6 4.5 119 "SALA"
28 3 3.2 119 "SALA"
29 5 3 119 "SALA"
30 1 0.5 119 "SALA"
1 6 5 120 "SALA"
2 3 3 120 "SALA"
3 2 2.5 120 "SALA"
4 5 6 120 "SALA"
5 4 7 120 "SALA"
6 1 0.5 120 "SALA"
7 5 4 120 "SALA"
8 6 6 120 "SALA"
9 3 3 120 "SALA"
10 1 0.5 120 "SALA"
11 4 4 120 "SALA"
12 2 2 120 "SALA"
13 4 6 120 "SALA"
14 5 6.5 120 "SALA"
15 2 2 120 "SALA"
16 1 0.5 120 "SALA"
17 3 5 120 "SALA"
18 6 8 120 "SALA"
19 5 6 120 "SALA"
20 4 6.5 120 "SALA"
21 6 7 120 "SALA"
22 1 0.5 120 "SALA"
23 2 2 120 "SALA"
24 3 4 120 "SALA"
25 1 0.3 120 "SALA"
26 6 7 120 "SALA"
27 3 4 120 "SALA"
28 4 8 120 "SALA"
29 2 1.5 120 "SALA"
30 5 5 120 "SALA"
1 4 1 121 "SALA"
2 3 1 121 "SALA"
3 5 1 121 "SALA"
4 2 1 121 "SALA"
5 6 1 121 "SALA"
6 1 0 121 "SALA"
7 6 1 121 "SALA"
8 5 1 121 "SALA"
9 3 1 121 "SALA"
10 2 1 121 "SALA"
11 4 1 121 "SALA"
12 1 0 121 "SALA"
13 3 1 121 "SALA"
14 4 1 121 "SALA"
15 6 1 121 "SALA"
16 5 1 121 "SALA"
17 2 0 121 "SALA"
18 1 0 121 "SALA"
19 4 1 121 "SALA"
20 2 1 121 "SALA"
21 1 0 121 "SALA"
22 5 2 121 "SALA"
23 6 2 121 "SALA"
24 3 1 121 "SALA"
25 1 0 121 "SALA"
26 2 1 121 "SALA"
27 3 1 121 "SALA"
28 5 1 121 "SALA"
29 6 2 121 "SALA"
30 4 2 121 "SALA"
1 5 4 122 "SALA"
2 6 5 122 "SALA"
3 2 3 122 "SALA"
4 3 4 122 "SALA"
5 1 2 122 "SALA"
6 4 4 122 "SALA"
7 2 3 122 "SALA"
8 4 5 122 "SALA"
9 5 4 122 "SALA"
10 6 6 122 "SALA"
11 1 2 122 "SALA"
12 3 4 122 "SALA"
13 1 2 122 "SALA"
14 2 4 122 "SALA"
15 3 6 122 "SALA"
16 6 7 122 "SALA"
17 5 6 122 "SALA"
18 4 4 122 "SALA"
19 3 3 122 "SALA"
20 6 5 122 "SALA"
21 4 4 122 "SALA"
22 2 3 122 "SALA"
23 1 2 122 "SALA"
24 5 5 122 "SALA"
25 1 2 122 "SALA"
26 3 4 122 "SALA"
27 2 4 122 "SALA"
28 4 5 122 "SALA"
29 5 4 122 "SALA"
30 6 6 122 "SALA"
1 5 2 123 "SALA"
2 3 2 123 "SALA"
3 6 3 123 "SALA"
4 4 3 123 "SALA"
5 1 1 123 "SALA"
6 2 2 123 "SALA"
7 6 3 123 "SALA"
8 1 1 123 "SALA"
9 3 3 123 "SALA"
10 4 2 123 "SALA"
11 2 2 123 "SALA"
12 5 3 123 "SALA"
13 4 3 123 "SALA"
14 2 1 123 "SALA"
15 1 1 123 "SALA"
16 6 4 123 "SALA"
17 3 3 123 "SALA"
18 5 2 123 "SALA"
19 2 1 123 "SALA"
20 3 1 123 "SALA"
21 6 3 123 "SALA"
22 1 1 123 "SALA"
23 4 3 123 "SALA"
24 5 4 123 "SALA"
25 2 2 123 "SALA"
26 6 3 123 "SALA"
27 5 2 123 "SALA"
28 3 2 123 "SALA"
29 1 1 123 "SALA"
30 4 3 123 "SALA"
1 6 2 124 "SALA"
