"subject" "intercept" "coef" "r.squared" "room_condition"
1 0.633359396913011 0.490028191402821 0.657488626827217 "Unknown environment"
2 -0.420555644710857 0.844405381125727 0.907378689898741 "Unknown environment"
3 -0.00708178682170586 0.0124195643927315 0.264175709096382 "Unknown environment"
4 0.986282847192235 0.640317085246556 0.921334655043084 "Unknown environment"
6 1.23048333786707 0.337209134537326 0.897707441143244 "Unknown environment"
9 0.25675693884818 0.820865823468539 0.97762945259394 "Unknown environment"
10 0.77605087285659 0.589640416009518 0.801205979420127 "Unknown environment"
11 1.45311750544114 0.329983472097035 0.903177376044289 "Unknown environment"
12 0.167942256431073 0.668194332627012 0.907583260988696 "Unknown environment"
13 1.76220148473604 0.373208939622716 0.89884555417514 "Unknown environment"
14 0.481684820801851 0.750717719154592 0.789481520774147 "Unknown environment"
15 1.31142797124064 0.350396356472672 0.895155366352613 "Unknown environment"
16 1.0150526316288 0.596563296399658 0.957776586560892 "Unknown environment"
18 0.658760220234686 0.601536169309697 0.974440166848218 "Unknown environment"
19 1.80465976852295 0.339511280419809 0.986063580949934 "Unknown environment"
20 0.488213565877126 0.469107506004433 0.92039449347525 "Unknown environment"
21 -0.367336763808184 0.684619760046433 0.928218712199821 "Unknown environment"
22 1.02147088397615 0.6231510664975 0.803785271336692 "Unknown environment"
23 1.84428681956583 0.162919742850798 0.898431487713443 "Unknown environment"
24 0.114789922753496 0.784255226469779 0.923516546609784 "Unknown environment"
25 -0.289618015887472 0.271044872618157 0.793998224744596 "Unknown environment"
26 0.783109968836739 0.564661068077715 0.918668334327723 "Unknown environment"
27 0.137494228405037 0.343440379803567 0.879166582550111 "Unknown environment"
28 0.0907488350258295 0.896771244690917 0.92901248593375 "Unknown environment"
30 -0.0933907456006016 0.920635353577495 0.730584592990914 "Unknown environment"
31 0.98617357034993 0.571283799645282 0.933633787791747 "Unknown environment"
32 0.291833925791902 0.0547224240824558 0.478670846510511 "Unknown environment"
33 0.233610810986173 1.06318732921731 0.850914950011267 "Unknown environment"
34 -0.141316818359193 1.1430449899887 0.844369276919002 "Unknown environment"
35 -0.199100676332541 1.0543028922908 0.945830017898402 "Unknown environment"
36 0.315601169632511 0.600278607539132 0.900027084907342 "Unknown environment"
101 0.466251830818652 0.646174410936303 0.936784083417136 "Controlled environment"
103 0.424712582931786 0.349113697825129 0.800470723313516 "Controlled environment"
104 0.336226485704726 1.08923613823189 0.962763236095303 "Controlled environment"
105 0.33139271679415 0.412132353153483 0.774932809592473 "Controlled environment"
106 -0.634356456611949 0.747820556890304 0.864907355127055 "Controlled environment"
107 0.785424346936463 0.947903800361422 0.842467539352377 "Controlled environment"
108 0.575290839755545 0.824955296788936 0.931586340026079 "Controlled environment"
109 -0.359863052160251 1.67771634630016 0.846723705817867 "Controlled environment"
110 -0.187128655032605 1.09647020652168 0.952015850363771 "Controlled environment"
111 0.758256193793706 0.67169362135141 0.900687163088692 "Controlled environment"
112 0.229980797843103 0.957219531389814 0.829771860116378 "Controlled environment"
113 0.660734937513611 0.5200337076809 0.964241621566289 "Controlled environment"
115 0.804129272270701 0.840408060174992 0.9647013100739 "Controlled environment"
116 0.414890923252398 0.786965397150361 0.971847873115578 "Controlled environment"
117 0.59565017715385 0.382906879687563 0.518334836487842 "Controlled environment"
118 0.829043832323337 0.791545837305678 0.97092033925378 "Controlled environment"
119 0.514764427132927 0.465224954495626 0.88236208819452 "Controlled environment"
120 -0.531320384539421 1.50046089160989 0.937116664669908 "Controlled environment"
122 0.761896089578794 0.538989810192524 0.953035391883727 "Controlled environment"
123 0.0306811211633147 0.641814060380631 0.970314185633642 "Controlled environment"
124 0.0708404525354029 0.528225562606762 0.830474316365228 "Controlled environment"
125 1.03797799934879 0.892418874181888 0.931045283566942 "Controlled environment"
126 0.181177288156903 1.13218271108708 0.949267783474948 "Controlled environment"
127 0.234106094077077 0.863853564127266 0.95193392979356 "Controlled environment"
128 0.152788597175576 0.971978013394034 0.948795707483994 "Controlled environment"
129 0.850511439167942 0.676987565842957 0.916689733544663 "Controlled environment"
130 0.83518425223468 0.543529336781101 0.968789258481189 "Controlled environment"
