soundEstimulus,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruccion.started,instruccion.stopped,instruccion_2.started,instruccion_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,soundEst.started,soundEst.stopped,testText.started,testText.stopped,instr_2.started,instr_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruccion_3.started,instruccion_3.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,19.324853600002825,None,return,15.420531200012192,26.324330599978566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
,,,,,,,,,,,,,,,26.324330599978566,None,41.77455669990741,None,return,9.701303100213408,41.77455669990741,None,,,,,,,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/3.wav,0,0,0,2,,,,,,,,,,,,,,,,,,,0.00815635989420116,None,56.6409074999392,None,56.6409074999392,None,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/5.wav,0,1,1,4,,,,,,,,,,,,,,,,,,,0.01369356014765799,None,65.20031029987149,None,65.20031029987149,None,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/1.wav,0,2,2,0,,,,,,,,,,,,,,,,,,,0.013795659877359867,None,75.7452106999699,None,75.7452106999699,None,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/2.wav,0,3,3,1,,,,,,,,,,,,,,,,,,,0.01374205993488431,None,82.80292529985309,None,82.80292529985309,None,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/6.wav,0,4,4,5,,,,,,,,,,,,,,,,,,,0.013840959873050451,None,89.97734869993292,None,89.97734869993292,None,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/4.wav,0,5,5,3,,,,,,,,,,,,,,,,,,,0.013806859962642193,None,96.63470049994066,None,96.63470049994066,None,,,,,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.940527000231668,97.75248919986188,None,,,,,,,,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/6.wav,,,,,0,0,0,5,,,,,,,,,,,,,,,0.009299659868702292,None,,,,,,,,,97.75248919986188,None,107.84697089996189,None,107.84697089996189,None,5,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/1.wav,,,,,0,1,1,0,,,,,,,,,,,,,,,0.0137200600001961,None,,,,,,,,,,,114.22065789997578,None,114.22065789997578,None,2,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/5.wav,,,,,0,2,2,4,,,,,,,,,,,,,,,0.013730859849601984,None,,,,,,,,,,,120.41060799988918,None,120.41060799988918,None,4,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/4.wav,,,,,0,3,3,3,,,,,,,,,,,,,,,0.013776359846815467,None,,,,,,,,,,,126.5506484999787,None,126.5506484999787,None,4,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/2.wav,,,,,0,4,4,1,,,,,,,,,,,,,,,0.013796159997582436,None,,,,,,,,,,,133.02439769986086,None,133.02439769986086,None,3,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/3.wav,,,,,0,5,5,2,,,,,,,,,,,,,,,0.01378435967490077,None,,,,,,,,,,,139.0643324998673,None,139.0643324998673,None,4,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/4.wav,,,,,1,0,6,3,,,,,,,,,,,,,,,0.013766659889370203,None,,,,,,,,,,,145.23780859983526,None,145.23780859983526,None,5,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/5.wav,,,,,1,1,7,4,,,,,,,,,,,,,,,0.013657759642228484,None,,,,,,,,,,,151.46130659990013,None,151.46130659990013,None,6,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/6.wav,,,,,1,2,8,5,,,,,,,,,,,,,,,0.013583360007032752,None,,,,,,,,,,,157.46778459986672,None,157.46778459986672,None,7,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/1.wav,,,,,1,3,9,0,,,,,,,,,,,,,,,0.013696759939193726,None,,,,,,,,,,,163.70799169992097,None,163.70799169992097,None,1,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/3.wav,,,,,1,4,10,2,,,,,,,,,,,,,,,0.013614660128951073,None,,,,,,,,,,,169.46434389986098,None,169.46434389986098,None,3,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/2.wav,,,,,1,5,11,1,,,,,,,,,,,,,,,0.013728059828281403,None,,,,,,,,,,,175.4874713998288,None,175.4874713998288,None,4,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/6.wav,,,,,2,0,12,5,,,,,,,,,,,,,,,0.013021459802985191,None,,,,,,,,,,,181.41063439985737,None,181.41063439985737,None,7,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/3.wav,,,,,2,1,13,2,,,,,,,,,,,,,,,0.013760759960860014,None,,,,,,,,,,,187.36723209987395,None,187.36723209987395,None,3,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/4.wav,,,,,2,2,14,3,,,,,,,,,,,,,,,0.013833760051056743,None,,,,,,,,,,,193.2235749999527,None,193.2235749999527,None,4,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/2.wav,,,,,2,3,15,1,,,,,,,,,,,,,,,0.01377496006898582,None,,,,,,,,,,,199.11342830001377,None,199.11342830001377,None,2,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/1.wav,,,,,2,4,16,0,,,,,,,,,,,,,,,0.013764559756964445,None,,,,,,,,,,,205.22000589990057,None,205.22000589990057,None,1,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/5.wav,,,,,2,5,17,4,,,,,,,,,,,,,,,0.013767760014161468,None,,,,,,,,,,,211.0930776000023,None,211.0930776000023,None,4,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/2.wav,,,,,3,0,18,1,,,,,,,,,,,,,,,0.013702459866181016,None,,,,,,,,,,,217.0330117000267,None,217.0330117000267,None,3,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/5.wav,,,,,3,1,19,4,,,,,,,,,,,,,,,0.013803459936752915,None,,,,,,,,,,,222.85592799982987,None,222.85592799982987,None,5,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/6.wav,,,,,3,2,20,5,,,,,,,,,,,,,,,0.013812060002237558,None,,,,,,,,,,,228.66227299999446,None,228.66227299999446,None,7,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/4.wav,,,,,3,3,21,3,,,,,,,,,,,,,,,0.01291396003216505,None,,,,,,,,,,,234.435336999828,None,234.435336999828,None,5,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/3.wav,,,,,3,4,22,2,,,,,,,,,,,,,,,0.01381626003421843,None,,,,,,,,,,,240.0413879000116,None,240.0413879000116,None,4,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/1.wav,,,,,3,5,23,0,,,,,,,,,,,,,,,0.01370246009901166,None,,,,,,,,,,,245.73094779998064,None,245.73094779998064,None,2,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
estimulos/2.wav,,,,,4,0,24,1,,,,,,,,,,,,,,,0.013728959718719125,None,,,,,,,,,,,251.68745869980194,None,251.68745869980194,None,3,,,016,001,2022-06-23_17h11.17.290,audio-text-input,2022.1.1,59.78747938055774,
