soundEstimulus,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruccion.started,instruccion.stopped,instruccion_2.started,instruccion_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,soundEst.started,soundEst.stopped,testText.started,testText.stopped,instr_2.started,instr_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruccion_3.started,instruccion_3.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,22.40728299994953,None,return,40.33904059976339,29.417962400009856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
,,,,,,,,,,,,,,,29.417962400009856,None,69.77891080011614,None,return,8.51832149992697,69.77891080011614,None,,,,,,,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/6.wav,0,0,0,5,,,,,,,,,,,,,,,,,,,0.008452530018985271,None,83.460467700148,None,83.460467700148,None,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/4.wav,0,1,1,3,,,,,,,,,,,,,,,,,,,0.013734029838815331,None,93.57142920000479,None,93.57142920000479,None,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/5.wav,0,2,2,4,,,,,,,,,,,,,,,,,,,0.014043029863387346,None,101.79718260001391,None,101.79718260001391,None,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/3.wav,0,3,3,2,,,,,,,,,,,,,,,,,,,0.013819829793646932,None,108.68795319995843,None,108.68795319995843,None,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/1.wav,0,4,4,0,,,,,,,,,,,,,,,,,,,0.013486029813066125,None,117.91471730009653,None,117.91471730009653,None,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/2.wav,0,5,5,1,,,,,,,,,,,,,,,,,,,0.013862229883670807,None,124.47195030003786,None,124.47195030003786,None,,,,,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.0489020000677556,126.59084930014797,None,,,,,,,,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/4.wav,,,,,0,0,0,3,,,,,,,,,,,,,,,0.009299230063334107,None,,,,,,,,,126.59084930014797,None,133.79873050004244,None,133.79873050004244,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/3.wav,,,,,0,1,1,2,,,,,,,,,,,,,,,0.013694129884243011,None,,,,,,,,,,,142.29142379993573,None,142.29142379993573,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/5.wav,,,,,0,2,2,4,,,,,,,,,,,,,,,0.013863330008462071,None,,,,,,,,,,,149.64940660004504,None,149.64940660004504,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/2.wav,,,,,0,3,3,1,,,,,,,,,,,,,,,0.01381763000972569,None,,,,,,,,,,,156.10645060008392,None,156.10645060008392,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/6.wav,,,,,0,4,4,5,,,,,,,,,,,,,,,0.01383792981505394,None,,,,,,,,,,,164.44900940009393,None,164.44900940009393,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/1.wav,,,,,0,5,5,0,,,,,,,,,,,,,,,0.01382393017411232,None,,,,,,,,,,,171.5897802999243,None,171.5897802999243,None,0,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/6.wav,,,,,1,0,6,5,,,,,,,,,,,,,,,0.0138203299138695,None,,,,,,,,,,,179.04821830010042,None,179.04821830010042,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/5.wav,,,,,1,1,7,4,,,,,,,,,,,,,,,0.013813829747959971,None,,,,,,,,,,,185.02139810007066,None,185.02139810007066,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/3.wav,,,,,1,2,8,2,,,,,,,,,,,,,,,0.013928330037742853,None,,,,,,,,,,,192.71314260014333,None,192.71314260014333,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/2.wav,,,,,1,3,9,1,,,,,,,,,,,,,,,0.013841629726812243,None,,,,,,,,,,,199.03680390003137,None,199.03680390003137,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/4.wav,,,,,1,4,10,3,,,,,,,,,,,,,,,0.01381872990168631,None,,,,,,,,,,,207.7469693000894,None,207.7469693000894,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/1.wav,,,,,1,5,11,0,,,,,,,,,,,,,,,0.013840229948982596,None,,,,,,,,,,,214.80400620005094,None,214.80400620005094,None,0,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/3.wav,,,,,2,0,12,2,,,,,,,,,,,,,,,0.013850429793819785,None,,,,,,,,,,,221.64476900012232,None,221.64476900012232,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/4.wav,,,,,2,1,13,3,,,,,,,,,,,,,,,0.01384422997944057,None,,,,,,,,,,,228.65242690010928,None,228.65242690010928,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/6.wav,,,,,2,2,14,5,,,,,,,,,,,,,,,0.013850529910996556,None,,,,,,,,,,,235.6935646000784,None,235.6935646000784,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/5.wav,,,,,2,3,15,4,,,,,,,,,,,,,,,0.013691329630091786,None,,,,,,,,,,,241.56664650002494,None,241.56664650002494,None,1,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/2.wav,,,,,2,4,16,1,,,,,,,,,,,,,,,0.013832830125465989,None,,,,,,,,,,,247.52305030007847,None,247.52305030007847,None,0,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
estimulos/1.wav,,,,,2,5,17,0,,,,,,,,,,,,,,,0.013822929933667183,None,,,,,,,,,,,253.78000070014969,None,253.78000070014969,None,0,,,021,001,2022-06-23_19h32.45.361,audio-text-input,2022.1.1,59.9321688269371,
