subject,condition,target_distance,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
1,INDVIRTUAL,1,0,0,0,4,2,0,0,0,4,1,0,0,0,4,1,0,0,0,4,0,0,0,4,0.3010299956639812,0,0,0,4,0.3010299956639812
2,INDVIRTUAL,1,0.11547005383792512,0.05773502691896256,0.013333333333333327,4,0.9,0.11547005383792512,0.05773502691896256,0.013333333333333327,4,-0.09999999999999998,0.11547005383792512,0.05773502691896256,0.013333333333333327,4,0.09999999999999998,0.11547005383792512,0.05773502691896256,0.013333333333333327,4,0.05595102209737149,0.027975511048685744,0.003130516873740553,4,-0.048455006504028196,0.05595102209737149,0.027975511048685744,0.003130516873740553,4,0.048455006504028196
3,INDVIRTUAL,1,0.04999999999999999,0.024999999999999994,0.0024999999999999988,4,0.575,0.04999999999999999,0.024999999999999994,0.0024999999999999988,4,-0.42500000000000004,0.04999999999999999,0.024999999999999994,0.0024999999999999988,4,0.42500000000000004,0.04999999999999999,0.024999999999999994,0.0024999999999999988,4,0.039590623023812416,0.019795311511906208,0.0015674174314136257,4,-0.2416440611282626,0.039590623023812416,0.019795311511906208,0.0015674174314136257,4,0.2416440611282626
4,INDVIRTUAL,1,0,0,0,4,1.5,0,0,0,4,0.5,0,0,0,4,0.5,0,0,0,4,0,0,0,4,0.17609125905568124,0,0,0,4,0.17609125905568124
5,INDVIRTUAL,1,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,0.75,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,-0.25,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,0.25,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,0.17379974903075143,0.08689987451537572,0.03020635276315218,4,-0.1505149978319906,0.17379974903075143,0.08689987451537572,0.03020635276315218,4,0.1505149978319906
6,INDVIRTUAL,1,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,0.75,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,-0.25,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,0.25,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,0.17379974903075143,0.08689987451537572,0.03020635276315218,4,-0.1505149978319906,0.17379974903075143,0.08689987451537572,0.03020635276315218,4,0.1505149978319906
7,INDVIRTUAL,1,0.17320508075688776,0.08660254037844388,0.03000000000000001,4,0.65,0.17320508075688776,0.08660254037844388,0.03000000000000001,4,-0.35,0.17320508075688776,0.08660254037844388,0.03000000000000001,4,0.35,0.17320508075688776,0.08660254037844388,0.03000000000000001,4,0.11784872693337993,0.058924363466689965,0.013888322439818348,4,-0.1989700043360188,0.11784872693337993,0.058924363466689965,0.013888322439818348,4,0.1989700043360188
8,INDVIRTUAL,1,0.47871355387816905,0.23935677693908453,0.22916666666666666,4,1.375,0.47871355387816905,0.23935677693908453,0.22916666666666666,4,0.375,0.47871355387816905,0.23935677693908453,0.22916666666666666,4,0.375,0.47871355387816905,0.23935677693908453,0.22916666666666666,4,0.14687411489543842,0.07343705744771921,0.021572005626318443,4,0.11928031367991561,0.14687411489543842,0.07343705744771921,0.021572005626318443,4,0.11928031367991561
9,INDVIRTUAL,1,0,0,0,4,1,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0
10,INDVIRTUAL,1,1.1086778913041726,0.5543389456520863,1.2291666666666667,4,3.625,1.1086778913041726,0.5543389456520863,1.2291666666666667,4,2.625,1.1086778913041726,0.5543389456520863,1.2291666666666667,4,2.625,1.1086778913041726,0.5543389456520863,1.2291666666666667,4,0.13315773903138547,0.06657886951569274,0.01773098346395056,4,0.5440228147639203,0.13315773903138547,0.06657886951569274,0.01773098346395056,4,0.5440228147639203
11,INDVIRTUAL,1,0.09999999999999998,0.04999999999999999,0.009999999999999995,4,0.8500000000000001,0.09999999999999998,0.04999999999999999,0.009999999999999995,4,-0.14999999999999997,0.09999999999999998,0.04999999999999999,0.009999999999999995,4,0.14999999999999997,0.09999999999999998,0.04999999999999999,0.009999999999999995,4,0.048455006504028196,0.024227503252014098,0.002347887655305415,4,-0.07268250975604229,0.048455006504028196,0.024227503252014098,0.002347887655305415,4,0.07268250975604229
12,INDVIRTUAL,1,0.047871355387816894,0.023935677693908447,0.002291666666666666,4,0.2625,0.04787135538781695,0.023935677693908475,0.0022916666666666706,4,-0.7375,0.04787135538781695,0.023935677693908475,0.0022916666666666706,4,0.7375,0.04787135538781695,0.023935677693908475,0.0022916666666666706,4,0.08363968012859319,0.04181984006429659,0.006995596092013386,4,-0.5866968715561641,0.08363968012859319,0.04181984006429659,0.006995596092013386,4,0.5866968715561641
