participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,return,28.4336,,,,,,,,,,,,,,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,return,22.7645,,,,,,,,,,,,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,return,2.0139,,,,,,,,,,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,return,11.1045,,,,,,,,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,3,0,0,0,4,1,estimulos/5.wav,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,3,0,1,1,5,1,estimulos/6.wav,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,3,0,2,2,2,1,estimulos/3.wav,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,2,0,3,3,1,1,estimulos/2.wav,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,1,0,4,4,0,1,estimulos/1.wav,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"3,5",0,5,5,3,1,estimulos/4.wav,,,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,return,1.7563,,,,,,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/3.wav,,,0,0,0,2,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/2.wav,,,0,1,1,1,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,6",,,,,,estimulos/1.wav,,,0,2,2,0,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"3,2",,,,,,estimulos/4.wav,,,0,3,3,3,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"3,3",,,,,,estimulos/5.wav,,,0,4,4,4,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"3,4",,,,,,estimulos/6.wav,,,0,5,5,5,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"3,4",,,,,,estimulos/2.wav,,,1,0,6,1,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"3,4",,,,,,estimulos/5.wav,,,1,1,7,4,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"3,1",,,,,,estimulos/4.wav,,,1,2,8,3,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,3,,,,,,estimulos/6.wav,,,1,3,9,5,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,5",,,,,,estimulos/1.wav,,,1,4,10,0,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,77",,,,,,estimulos/3.wav,,,1,5,11,2,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,7",,,,,,estimulos/3.wav,,,2,0,12,2,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/5.wav,,,2,1,13,4,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,6",,,,,,estimulos/1.wav,,,2,2,14,0,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,7",,,,,,estimulos/4.wav,,,2,3,15,3,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/6.wav,,,2,4,16,5,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/2.wav,,,2,5,17,1,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,7",,,,,,estimulos/1.wav,,,3,0,18,0,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,9",,,,,,estimulos/6.wav,,,3,1,19,5,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/5.wav,,,3,2,20,4,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/2.wav,,,3,3,21,1,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,8",,,,,,estimulos/4.wav,,,3,4,22,3,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,7",,,,,,estimulos/3.wav,,,3,5,23,2,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,6",,,,,,estimulos/1.wav,,,4,0,24,0,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,6",,,,,,estimulos/4.wav,,,4,1,25,3,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,7",,,,,,estimulos/2.wav,,,4,2,26,1,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,71",,,,,,estimulos/5.wav,,,4,3,27,4,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,71",,,,,,estimulos/6.wav,,,4,4,28,5,1,069
Scuzarello,001,2024-11-25_16h39.49.975,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,"2,72",,,,,,estimulos/3.wav,,,4,5,29,2,1,069
