participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,,,,,,,,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,return,30.4698,,,,,,,,,,,,,,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,return,10.4674,,,,,,,,,,,,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,return,5.7499,,,,,,,,,,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,return,10.3026,,,,,,,,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,3,0,0,0,1,1,estimulos/2.wav,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,"2,5",0,1,1,0,1,estimulos/1.wav,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,5,0,2,2,4,1,estimulos/5.wav,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,5,0,3,3,2,1,estimulos/3.wav,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,0,4,4,5,1,estimulos/6.wav,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,0,5,5,3,1,estimulos/4.wav,,,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,,,,,,,,return,3.0474,,,,,,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,5,,,,,,estimulos/3.wav,,,0,0,0,2,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/4.wav,,,0,1,1,3,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,5,,,,,,estimulos/2.wav,,,0,2,2,1,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/5.wav,,,0,3,3,4,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,3,,,,,,estimulos/1.wav,,,0,4,4,0,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/6.wav,,,0,5,5,5,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,5,,,,,,estimulos/2.wav,,,1,0,6,1,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/3.wav,,,1,1,7,2,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,3,,,,,,estimulos/1.wav,,,1,2,8,0,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,7,,,,,,estimulos/6.wav,,,1,3,9,5,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,"7,5",,,,,,estimulos/4.wav,,,1,4,10,3,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,"7,5",,,,,,estimulos/5.wav,,,1,5,11,4,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,2,,,,,,estimulos/1.wav,,,2,0,12,0,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/3.wav,,,2,1,13,2,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,7,,,,,,estimulos/5.wav,,,2,2,14,4,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,"7,5",,,,,,estimulos/4.wav,,,2,3,15,3,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,8,,,,,,estimulos/6.wav,,,2,4,16,5,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,5,,,,,,estimulos/2.wav,,,2,5,17,1,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,5,,,,,,estimulos/2.wav,,,3,0,18,1,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,3,,,,,,estimulos/1.wav,,,3,1,19,0,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/5.wav,,,3,2,20,4,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,"6,5",,,,,,estimulos/4.wav,,,3,3,21,3,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,7,,,,,,estimulos/6.wav,,,3,4,22,5,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/3.wav,,,3,5,23,2,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,3,,,,,,estimulos/1.wav,,,4,0,24,0,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/4.wav,,,4,1,25,3,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,7,,,,,,estimulos/3.wav,,,4,2,26,2,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,6,,,,,,estimulos/2.wav,,,4,3,27,1,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,7,,,,,,estimulos/6.wav,,,4,4,28,5,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,"7,5",,,,,,estimulos/5.wav,,,4,5,29,4,1,003
Alvarez Rocco,001,2024-11-24_16h50.13.437,audio-text-input,2022.2.2,Win32,11.99040767,,,,,,,,,,,,,,,,,,,,,,,003
