participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,,,,,,,,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,return,20.1184,,,,,,,,,,,,,,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,return,12.9451,,,,,,,,,,,,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,return,77.282,,,,,,,,,,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,return,20.9346,,,,,,,,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,7,0,0,0,5,1,estimulos/6.wav,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,5,0,1,1,3,1,estimulos/4.wav,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,5,0,2,2,2,1,estimulos/3.wav,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,5,0,3,3,4,1,estimulos/5.wav,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,4,0,4,4,1,1,estimulos/2.wav,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,3,0,5,5,0,1,estimulos/1.wav,,,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,,,,,,,,return,1.5533,,,,,
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,7,,,,,,estimulos/4.wav,,,0,0,0,3,1
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,7,,,,,,estimulos/2.wav,,,0,1,1,1,1
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,6,,,,,,estimulos/6.wav,,,0,2,2,5,1
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,6,,,,,,estimulos/5.wav,,,0,3,3,4,1
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,4,,,,,,estimulos/1.wav,,,0,4,4,0,1
015,001,2022-11-08_11h19.04.222,audio-text-input,2022.2.2,Win32,59.9268892,,,,,,,,,5,,,,,,estimulos/3.wav,,,0,5,5,2,1
