participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,return,27.0703,,,,,,,,,,,,,,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,return,8.9702,,,,,,,,,,,,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,return,5.9996,,,,,,,,,,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,return,11.3529,,,,,,,,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1,0,0,0,2,1,estimulos/3.wav,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,"0,50",0,1,1,0,1,estimulos/1.wav,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,2,0,2,2,4,1,estimulos/5.wav,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,2,0,3,3,3,1,estimulos/4.wav,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1,0,4,4,1,1,estimulos/2.wav,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,3,0,5,5,5,1,estimulos/6.wav,,,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,,,,,,,,return,2.5872,,,,,
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1,,,,,,estimulos/3.wav,,,0,0,0,2,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1,,,,,,estimulos/4.wav,,,0,1,1,3,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1.5,,,,,,estimulos/6.wav,,,0,2,2,5,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,0.5,,,,,,estimulos/1.wav,,,0,3,3,0,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1,,,,,,estimulos/2.wav,,,0,4,4,1,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,2,,,,,,estimulos/5.wav,,,0,5,5,4,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1.5,,,,,,estimulos/6.wav,,,1,0,6,5,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1,,,,,,estimulos/2.wav,,,1,1,7,1,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1.5,,,,,,estimulos/3.wav,,,1,2,8,2,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1.5,,,,,,estimulos/4.wav,,,1,3,9,3,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,2,,,,,,estimulos/5.wav,,,1,4,10,4,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,0.5,,,,,,estimulos/1.wav,,,1,5,11,0,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,0.20,,,,,,estimulos/1.wav,,,2,0,12,0,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,1,,,,,,estimulos/4.wav,,,2,1,13,3,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,3,,,,,,estimulos/6.wav,,,2,2,14,5,1
002,001,2022-10-25_18h35.06.144,audio-text-input,2022.2.2,Win32,60.07088364,,,,,,,,,2,,,,,,estimulos/3.wav,,,2,3,15,2,1
