participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,,,,,,,,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,return,15.3256,,,,,,,,,,,,,,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,return,5.6088,,,,,,,,,,,,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,return,2.9881,,,,,,,,,,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,return,4.6375,,,,,,,,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,0.5,0,0,0,4,1,estimulos/5.wav,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,1,0,1,1,1,1,estimulos/2.wav,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,3,0,2,2,5,1,estimulos/6.wav,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,2,0,3,3,0,1,estimulos/1.wav,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,5,0,4,4,2,1,estimulos/3.wav,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,5,0,5,5,3,1,estimulos/4.wav,,,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,,,,,,,,return,1.2342,,,,,
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,5,,,,,,estimulos/3.wav,,,0,0,0,2,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,5,,,,,,estimulos/6.wav,,,0,1,1,5,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,3,,,,,,estimulos/1.wav,,,0,2,2,0,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,4,,,,,,estimulos/5.wav,,,0,3,3,4,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,4,,,,,,estimulos/2.wav,,,0,4,4,1,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,6,,,,,,estimulos/4.wav,,,0,5,5,3,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,3,,,,,,estimulos/1.wav,,,1,0,6,0,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,5,,,,,,estimulos/2.wav,,,1,1,7,1,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,6,,,,,,estimulos/3.wav,,,1,2,8,2,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,6,,,,,,estimulos/5.wav,,,1,3,9,4,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/6.wav,,,1,4,10,5,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/4.wav,,,1,5,11,3,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,8,,,,,,estimulos/5.wav,,,2,0,12,4,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,9,,,,,,estimulos/6.wav,,,2,1,13,5,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/2.wav,,,2,2,14,1,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,8,,,,,,estimulos/3.wav,,,2,3,15,2,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,5,,,,,,estimulos/1.wav,,,2,4,16,0,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/4.wav,,,2,5,17,3,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/3.wav,,,3,0,18,2,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,8,,,,,,estimulos/6.wav,,,3,1,19,5,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,4,,,,,,estimulos/1.wav,,,3,2,20,0,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/2.wav,,,3,3,21,1,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,9,,,,,,estimulos/4.wav,,,3,4,22,3,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,8,,,,,,estimulos/5.wav,,,3,5,23,4,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,9,,,,,,estimulos/6.wav,,,4,0,24,5,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,6,,,,,,estimulos/3.wav,,,4,1,25,2,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/4.wav,,,4,2,26,3,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,6,,,,,,estimulos/2.wav,,,4,3,27,1,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,5,,,,,,estimulos/1.wav,,,4,4,28,0,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,7,,,,,,estimulos/5.wav,,,4,5,29,4,1
011,001,2022-11-26_11h45.42.531,audio-text-input,2022.2.2,Win32,30.04085556,,,,,,,,,,,,,,,,,,,,,,
