participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,,,,,,,,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,return,32.5728,,,,,,,,,,,,,,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,return,11.5413,,,,,,,,,,,,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,return,5.6722,,,,,,,,,,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,return,15.0448,,,,,,,,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,3,0,0,0,5,1,estimulos/6.wav,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2,0,1,1,0,1,estimulos/1.wav,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2.5,0,2,2,1,1,estimulos/2.wav,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,3,0,3,3,2,1,estimulos/3.wav,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4,0,4,4,4,1,estimulos/5.wav,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,3.5,0,5,5,3,1,estimulos/4.wav,,,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,,,,,,,,return,2.9163,,,,,
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,3.5,,,,,,estimulos/4.wav,,,0,0,0,3,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2.5,,,,,,estimulos/2.wav,,,0,1,1,1,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2.5,,,,,,estimulos/3.wav,,,0,2,2,2,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2,,,,,,estimulos/1.wav,,,0,3,3,0,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,3,,,,,,estimulos/5.wav,,,0,4,4,4,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4,,,,,,estimulos/6.wav,,,0,5,5,5,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4.5,,,,,,estimulos/6.wav,,,1,0,6,5,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2,,,,,,estimulos/2.wav,,,1,1,7,1,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2.5,,,,,,estimulos/3.wav,,,1,2,8,2,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,1,,,,,,estimulos/1.wav,,,1,3,9,0,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,3.5,,,,,,estimulos/5.wav,,,1,4,10,4,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4,,,,,,estimulos/4.wav,,,1,5,11,3,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2,,,,,,estimulos/2.wav,,,2,0,12,1,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2,,,,,,estimulos/6.wav,,,2,1,13,5,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,0.5,,,,,,estimulos/1.wav,,,2,2,14,0,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4,,,,,,estimulos/5.wav,,,2,3,15,4,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4.5,,,,,,estimulos/4.wav,,,2,4,16,3,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,3.5,,,,,,estimulos/3.wav,,,2,5,17,2,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2,,,,,,estimulos/2.wav,,,3,0,18,1,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,2.5,,,,,,estimulos/3.wav,,,3,1,19,2,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,1,,,,,,estimulos/1.wav,,,3,2,20,0,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,5,,,,,,estimulos/6.wav,,,3,3,21,5,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4.5,,,,,,estimulos/5.wav,,,3,4,22,4,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4,,,,,,estimulos/4.wav,,,3,5,23,3,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,5,,,,,,estimulos/4.wav,,,4,0,24,3,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,4,,,,,,estimulos/6.wav,,,4,1,25,5,1
024,001,2022-11-28_08h56.30.479,audio-text-input,2022.2.2,Win32,59.91252771,,,,,,,,,0.5,,,,,,estimulos/1.wav,,,4,2,26,0,1
