participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,return,22.4428,,,,,,,,,,,,,,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,return,8.0874,,,,,,,,,,,,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,return,4.1665,,,,,,,,,,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,return,8.2373,,,,,,,,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,3,0,0,0,1,1,estimulos/2.wav,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,2,0,1,1,0,1,estimulos/1.wav,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,"2,5",0,2,2,5,1,estimulos/6.wav,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,"3,5",0,3,3,2,1,estimulos/3.wav,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,0,4,4,4,1,estimulos/5.wav,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,5,0,5,5,3,1,estimulos/4.wav,,,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,return,2.3367,,,,,,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,4,,,,,,estimulos/2.wav,,,0,0,0,1,1,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,"3,5",,,,,,estimulos/4.wav,,,0,1,1,3,1,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,"3,5",,,,,,estimulos/3.wav,,,0,2,2,2,1,028
Curto,001,2023-02-08_21h29.31.114,audio-text-input,2022.2.2,Linux x86_64,59.99880002,,,,,,,,,"4,5",,,,,,estimulos/6.wav,,,0,3,3,5,1,028
