participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,,,,,,,,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,return,14.3491,,,,,,,,,,,,,,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,return,4.3887,,,,,,,,,,,,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,return,0.9286,,,,,,,,,,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,return,10.0484,,,,,,,,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,4,0,0,0,3,1,estimulos/4.wav,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,10,0,1,1,5,1,estimulos/6.wav,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,9,0,2,2,2,1,estimulos/3.wav,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,5,0,3,3,0,1,estimulos/1.wav,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,15,0,4,4,4,1,estimulos/5.wav,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,10,0,5,5,1,1,estimulos/2.wav,,,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,,,,,,,,return,2.5638,,,,,,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,1000,,,,,,estimulos/2.wav,,,0,0,0,1,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,12,,,,,,estimulos/5.wav,,,0,1,1,4,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,13,,,,,,estimulos/6.wav,,,0,2,2,5,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,9,,,,,,estimulos/3.wav,,,0,3,3,2,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,6,,,,,,estimulos/1.wav,,,0,4,4,0,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,12,,,,,,estimulos/4.wav,,,0,5,5,3,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,15,,,,,,estimulos/4.wav,,,1,0,6,3,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,12,,,,,,estimulos/3.wav,,,1,1,7,2,1,062
Patiño,002,2022-11-24_22h06.17.801,audio-text-input,2022.2.2,Win32,58.96226415,,,,,,,,,18,,,,,,estimulos/6.wav,,,1,2,8,5,1,062
