participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,return,13.7155,,,,,,,,,,,,,,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,return,9.2794,,,,,,,,,,,,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,return,1.9032,,,,,,,,,,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,return,3.173,,,,,,,,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,3,0,0,0,5,1,estimulos/6.wav,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,3,0,1,1,3,1,estimulos/4.wav,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,1.5,0,2,2,4,1,estimulos/5.wav,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,0.5,0,3,3,0,1,estimulos/1.wav,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,1,0,4,4,1,1,estimulos/2.wav,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,0.7,0,5,5,2,1,estimulos/3.wav,,,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,,,,,,,,return,1.4188,,,,,,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,1,,,,,,estimulos/2.wav,,,0,0,0,1,1,072
Terraza,001,2022-11-07_17h07.14.440,audio-text-input,2022.2.2,Win32,59.90534955,,,,,,,,,3,,,,,,estimulos/5.wav,,,0,1,1,4,1,072
