participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,return,18.137,,,,,,,,,,,,,,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,return,8.1556,,,,,,,,,,,,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,return,5.3504,,,,,,,,,,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,return,7.8541,,,,,,,,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,3,0,0,0,2,1,estimulos/3.wav,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,0,1,1,5,1,estimulos/6.wav,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,1,0,2,2,0,1,estimulos/1.wav,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,5,0,3,3,3,1,estimulos/4.wav,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,2,0,4,4,1,1,estimulos/2.wav,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,4,0,5,5,4,1,estimulos/5.wav,,,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,return,2.5898,,,,,,012
anon09,001,2024-11-27_15h18.06.373,audio-text-input,2022.2.2,Win32,59.88023952,,,,,,,,,2,,,,,,estimulos/2.wav,,,0,0,0,1,1,012
