participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,soundEstimulus,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant_n
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,return,2.6848,,,,,,,,,,,,,,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,return,10.6713,,,,,,,,,,,,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,return,7.0631,,,,,,,,,,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,return,14.3051,,,,,,,,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,2,0,0,0,4,1,estimulos/5.wav,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,1,0,1,1,3,1,estimulos/4.wav,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,1,0,2,2,1,1,estimulos/2.wav,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,2,0,3,3,5,1,estimulos/6.wav,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,1,0,4,4,2,1,estimulos/3.wav,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,1,0,5,5,0,1,estimulos/1.wav,,,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,return,2.5044,,,,,,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,2,,,,,,estimulos/3.wav,,,0,0,0,2,1,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,3,,,,,,estimulos/6.wav,,,0,1,1,5,1,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,1,,,,,,estimulos/1.wav,,,0,2,2,0,1,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,2,,,,,,estimulos/2.wav,,,0,3,3,1,1,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,4,,,,,,estimulos/5.wav,,,0,4,4,4,1,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,3,,,,,,estimulos/4.wav,,,0,5,5,3,1,055
Monzon,001,2025-10-14_14h16.00.253,audio-text-input,2022.2.2,Win32,60.24096386,,,,,,,,,1,,,,,,estimulos/1.wav,,,1,0,6,0,1,055
